time_ms,memory_kbytes
0,0
490,0
1470,28516
1764,36168
2009,48452
2254,54352
2499,57940
2744,49068
3038,52176
3234,54428
3479,56476
3724,58668
4018,75764
4263,79844
4508,99572
4802,103852
5096,103852
5292,103852
5537,103852
5880,103852
6027,103852
6272,103872
6517,103748
6762,104268
7007,105684
7252,105744
7497,105764
7791,109956
8036,106596
8281,111996
8575,112024
8771,112024
9065,112024
9261,112024
9506,112024
9800,112024
10045,112072
10388,112080
10584,112080
10878,112080
11025,112080
11319,112080
11564,112080
11858,112080
12103,112080
12250,112072
12544,112164
12838,112152
13034,113248
13328,113260
13524,113260
13867,113260
14063,113260
14357,113260
14504,113260
14798,113260
15092,113260
15337,113260
15631,113260
15876,113260
16023,113260
16366,113260
16513,113260
16807,113260
17101,113220
17297,113288
17591,121296
17787,121296
18032,121296
18277,121296
18620,121296
18865,121296
19061,125200
19306,125204
19649,125204
19894,125204
20090,125204
20384,125204
20580,125204
20923,125204
21070,125204
21364,125204
21609,125204
21805,125204
22050,125204
22442,125204
22589,125204
22834,114360
23079,113892
23324,119196
23569,119244
23814,119260
24059,119260
24353,119260
24598,119260
24843,119160
25039,118976
25333,119012
25627,119012
25872,119012
26068,119012
26313,119012
26558,119012
26852,119180
27097,119180
27391,119180
27636,119180
27881,119044
28077,119044
28322,119044
28616,119044
28861,119028
29106,119056
29351,119404
29645,119408
29890,119408
30135,119404
30331,119404
30576,119440
30870,119448
31164,119448
31360,119448
31654,119448
31850,119448
32144,119448
32389,119448
32634,119448
32830,119448
33124,119448
33320,119448
33614,119448
33908,119448
34104,119448
34398,119448
34545,126976
34839,126988
35231,126988
35329,126988
35574,126988
35868,126988
36162,130912
36358,130916
36603,130916
36848,130916
37142,130916
37387,130916
37583,130916
37828,130916
38171,130916
38416,130916
38563,130916
38857,130916
39102,130916
39347,130916
39690,130916
39837,118480
40131,123524
40376,124904
40572,124956
40866,124956
41160,124956
41405,124956
41699,124956
41895,124808
42091,125020
42434,125080
42630,125080
42875,125080
43218,125080
43365,125080
43610,125080
43953,125080
44149,125080
44394,125080
44639,125020
44884,124988
45080,125592
45374,125624
45619,125624
45864,125624
46158,125624
46452,125624
46697,125624
46893,125624
47138,125624
47432,125624
47677,125624
47922,125624
48167,125624
48412,125624
48657,125624
48902,125624
49196,125624
49441,100988
49588,100096
49833,0
