time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1960,0,0
2499,0,0
2989,0,0
3479,0,0
3969,0,0
4508,0,0
4998,0,0
5488,0,0
6027,0,0
6517,0,0
7007,0,0
7546,0,0
8036,0,0
8526,0,0
9065,0,0
9555,0,0
10045,0,0
10584,0,0
11074,0,0
11564,0,0
12103,0,0
12593,0,0
13083,0,0
13622,0,0
14112,0,0
14602,0,0
15092,0,0
15631,0,0
16121,0,0
16611,0,0
17150,0,0
17640,0,0
18130,0,0
18669,0,0
19159,0,0
19649,0,0
20188,0,0
20678,0,0
21217,0,0
21707,0,0
22246,0,0
22736,0,0
23226,0,0
23765,0,0
24255,0,0
24745,0,0
25235,0,0
25774,0,0
26264,0,0
26803,0,0
27293,0,0
27783,0,0
28322,0,0
28812,0,0
29351,0,0
29841,0,0
30331,0,0
30870,0,0
31360,0,0
31850,0,0
32389,0,0
32879,0,0
33369,0,0
33908,0,0
34398,0,0
34888,0,0
35378,0,0
35917,0,0
36407,0,0
36897,0,0
37436,0,0
37926,0,0
38416,0,0
38955,0,0
39445,0,0
39935,0,0
40474,0,0
40964,0,0
41454,0,0
41944,0,0
42483,0,0
42973,0,0
43463,0,0
44002,0,0
44492,0,0
44982,0,0
45472,0,0
46011,0,0
46501,0,0
47040,0,0
47530,0,0
48020,0,0
48559,0,0
49098,0,0
49588,21703,11114
