time_ms,memory_kbytes
0,0
1470,0
2450,24152
2695,20804
2940,26772
3234,28840
3479,23436
3724,24148
4018,24764
4263,25316
4459,24848
4900,25512
5096,26416
5292,26820
5586,27572
5782,27752
6076,28452
6321,29056
6566,32664
6860,33664
7056,36532
7301,34480
7595,34860
7840,41584
8134,43700
8379,44248
8673,49172
8869,52764
9163,53592
9359,53352
9653,53352
9849,53352
10094,53352
10388,52864
10633,52888
10878,52892
11172,52892
11466,53520
11711,53540
12005,56420
12397,54308
12691,54408
12936,54308
13181,54564
13377,54708
13622,54708
13867,54708
14112,54708
14406,54708
14651,54708
14896,54708
15141,54716
15386,54720
15631,54720
15876,54720
16121,54720
16366,54720
16611,54720
16856,54720
17150,54720
17395,54868
17640,54804
18032,55052
18228,55364
18473,55364
18718,55364
18963,55364
19208,55364
19453,55364
19698,55364
19943,55364
20188,55364
20433,55364
20727,55364
20972,55364
21217,55364
21462,55364
21707,55364
21952,55364
22197,55364
22442,55364
22687,55364
22981,55364
23226,55328
23471,55528
23716,55556
23961,55556
24206,55556
24451,55556
24696,55556
24941,55556
25186,55556
25480,55544
25725,55544
25970,55544
26215,55544
26460,55544
26705,55544
26950,55544
27195,55544
27489,55544
27734,55544
27979,55544
28224,55544
28469,55544
28812,55584
29057,56732
29302,56744
29498,56756
29792,56756
29988,56756
30282,56756
30527,56756
30772,56756
31017,56756
31262,56756
31507,56756
31752,56756
31997,56756
32291,56756
32487,56756
32781,56756
33026,55904
33271,55904
33516,55904
33761,55904
34006,55904
34251,55904
34545,55904
34888,56440
35133,56048
35378,56156
35623,57724
35868,57856
36113,57840
36358,57840
36603,57840
36848,57840
37093,57840
37338,57768
37632,57828
37828,57828
38073,57828
38318,57828
38563,57828
38808,57828
39102,57828
39347,57828
39592,57828
39837,57828
40082,57828
40327,57828
40572,57828
40817,57828
41160,57896
41405,58932
41601,59028
41846,59028
42091,59028
42336,59028
42630,59028
42875,59028
43120,59028
43365,59024
43610,59024
43855,59024
44100,59024
44345,59024
44590,59024
44835,59024
45129,59024
45374,59024
45619,59024
45864,59024
46109,59024
46354,59024
46599,59024
46893,59084
47089,58884
47481,59052
47628,55800
47922,55800
48167,55800
48412,55800
48657,55800
48902,55800
49147,55800
49392,55800
49637,55800
49882,55800
