time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2106,0,0
2592,0,0
3078,0,0
3618,0,0
4104,0,0
4590,0,0
5130,0,0
5616,0,0
6102,0,0
6642,0,0
7128,0,0
7614,0,0
8154,0,0
8640,0,0
9126,0,0
9666,0,0
10152,0,0
10638,0,0
11178,0,0
11664,0,0
12150,0,0
12690,0,0
13176,0,0
13662,0,0
14202,0,0
14688,0,0
15174,0,0
15714,0,0
16200,0,0
16686,0,0
17226,0,0
17712,0,0
18198,0,0
18738,0,0
19224,0,0
19710,0,0
20250,0,0
20736,0,0
21222,0,0
21762,0,0
22248,0,0
22788,0,0
23274,0,0
23760,0,0
24300,0,0
24786,0,0
25272,0,0
25812,0,0
26298,0,0
26784,0,0
27324,0,0
27810,0,0
28350,0,0
28836,0,0
29322,0,0
29862,0,0
30348,0,0
30834,0,0
31374,0,0
31860,0,0
32346,0,0
32886,0,0
33372,0,0
33858,0,0
34398,0,0
34884,0,0
35370,0,0
35910,0,0
36396,0,0
36882,0,0
37422,0,0
37908,0,0
38394,0,0
38934,0,0
39420,0,0
39906,0,0
40446,0,0
40932,0,0
41418,0,0
41958,0,0
42444,0,0
42930,0,0
43470,0,0
43956,0,0
44442,0,0
44982,0,0
45468,0,0
45954,0,0
46494,0,0
46980,0,0
47466,0,0
47952,0,0
48492,0,0
48978,0,0
49464,0,0
50004,0,0
50490,0,0
50976,0,0
51516,0,0
52002,0,0
52542,0,0
53028,0,0
53514,0,0
54000,0,0
54540,0,0
