time_ms,memory_kbytes
0,0
264,0
1276,28188
1496,37512
1716,50736
1980,59616
2288,62952
2464,53400
2728,60392
2992,63296
3256,82436
3476,112684
3784,112788
4048,112796
4268,112796
4576,112796
4796,112796
5016,112796
5280,112796
5544,112672
5808,112672
6028,112672
6292,112672
6556,113040
6776,113040
7040,113040
7304,112992
7524,112860
7788,112860
8096,112860
8272,112860
8536,112860
8800,112840
9064,117240
9284,117384
9548,117240
9768,117240
10076,117268
10296,117268
10604,117948
10824,117944
11044,117992
11308,117992
11572,117992
11792,117992
12056,117992
12276,117992
12540,117992
12804,117992
13068,118096
13288,118096
13552,118096
13816,118096
14036,118096
14344,118096
14608,118088
14784,118028
15048,117916
15312,117912
15576,117912
15840,117912
16060,117912
16324,117912
16588,117912
16808,117912
17072,117912
17336,117912
17556,117912
17820,117912
18084,117912
18348,117912
18568,117912
18832,117912
19096,117912
19316,117912
19580,117912
19800,117912
20108,117912
20372,120904
20592,120340
20812,120340
21076,120340
21340,120340
21560,120340
21824,120340
22044,124716
22308,124724
22616,124724
22880,124724
23100,124724
23320,124724
23584,124724
23848,124724
24068,124724
24332,124724
24552,124724
24860,124724
25080,124724
25344,124724
25652,119652
25872,119804
26092,119804
26356,119804
26576,119804
26840,119804
27060,119804
27368,119804
27588,119804
27808,119804
28072,119804
28336,119804
28600,119804
28820,119804
29084,119804
29348,119804
29612,119804
29832,119804
30096,119804
30360,119804
30580,119804
30844,119856
31064,120496
31328,120488
31592,120504
31856,120504
32076,120504
32340,120504
32604,120476
32868,120524
33132,120524
33352,120508
33616,120508
33880,120508
34100,120508
34364,120508
34584,120508
34848,120508
35112,120508
35332,120508
35596,120508
35860,120508
36124,120508
36344,120508
36608,120516
36872,120548
37092,120816
37356,120816
37620,120816
37884,120816
38104,120816
38324,120816
38632,120816
38896,120816
39116,120816
39380,120816
39600,120816
39864,120816
40172,120816
40392,120816
40612,120816
40876,120816
41096,120816
41404,120816
41624,120816
41844,120816
42108,120836
42416,123200
42636,123200
42900,123200
43120,123200
43384,123200
43648,123200
43868,127640
44176,127392
44396,127392
44660,127392
44880,127392
