time_ms,cpu_percent
0,0.0
352,0.0
1540,12.821
1760,12.579
1936,12.658
2156,15.625
2332,13.816
2552,14.465
2728,12.27
2948,15.094
3124,16.981
3344,15.541
3520,15.823
3740,3.846
3960,0.0
4136,0.0
4356,0.654
4532,0.0
4752,0.0
4928,0.0
5148,0.0
5324,1.911
5544,1.875
5764,1.875
5940,10.828
6160,10.828
6336,16.25
6556,11.392
6732,3.797
6952,0.0
7128,0.637
7348,0.0
7568,0.0
7744,0.0
7964,0.0
8140,0.0
8360,1.282
8536,2.581
8756,0.625
8932,0.0
9152,0.0
9372,0.0
9548,0.0
9768,0.0
9944,0.0
10164,0.0
10340,0.0
10560,0.0
10736,0.0
10956,5.128
11132,0.0
11352,8.696
11572,0.629
11748,0.0
11968,0.0
12144,0.0
12364,0.0
12540,0.0
12760,0.0
12980,0.0
13156,0.0
13376,0.633
13552,0.0
13772,0.0
13948,0.0
14168,0.0
14388,0.0
14564,0.0
14784,0.0
14960,0.0
15180,0.0
15356,0.0
15576,3.75
15752,7.595
15972,0.633
16192,0.0
16368,0.0
16588,0.0
16764,0.0
16984,0.0
17160,0.0
17380,3.185
17556,3.106
17776,0.0
17952,0.0
18172,0.0
18392,0.0
18568,0.0
18788,0.0
18964,0.0
19184,0.0
19360,0.0
19580,0.0
19800,0.0
19976,0.0
20196,0.0
20372,0.0
20592,0.0
20768,0.0
20988,3.797
21208,11.039
21384,14.744
21604,4.459
21780,1.299
22000,0.0
22176,0.0
22396,0.0
22572,0.0
22792,0.0
23012,0.0
23188,0.61
23408,5.031
23584,0.0
23804,0.0
23980,0.0
24200,0.0
24376,0.0
24596,0.0
24816,0.0
24992,0.0
25212,0.0
25388,0.0
25608,0.0
25784,0.0
26004,0.0
26180,0.0
26400,0.0
26620,0.0
26796,1.852
27016,3.205
27192,0.0
27412,6.452
27588,0.645
27808,0.0
28028,0.0
28204,0.0
28424,0.0
28600,0.0
28820,0.0
28996,0.0
29216,0.0
29392,0.0
29612,0.0
29832,0.0
30008,0.0
30228,0.0
30404,0.0
30624,0.0
30800,0.0
31020,0.0
31196,0.0
31416,0.0
31592,0.0
31812,0.0
32032,0.0
32208,0.0
32428,0.0
32604,4.487
32824,5.063
33000,0.0
33220,0.0
33396,0.0
33616,0.0
33836,0.0
34012,0.0
34232,0.0
34408,3.774
34628,2.667
34804,0.0
35024,0.0
35200,0.0
35420,0.0
35640,0.0
35816,0.0
36036,0.0
36212,0.0
36432,0.0
36608,0.0
36828,0.0
37004,0.0
37224,0.0
37444,0.637
37620,0.0
37840,0.0
38016,3.145
38236,15.094
38412,7.362
38632,1.258
38808,0.637
39028,0.0
39248,0.0
39424,0.0
39644,0.0
39820,0.0
40040,0.0
40216,3.774
40436,0.645
40612,0.0
40832,0.0
41008,0.0
41228,0.0
41448,0.0
41624,0.0
41844,0.0
42020,0.0
42240,0.0
42416,0.0
42636,0.0
42812,3.974
43032,0.0
43252,8.075
43428,3.185
43648,0.0
43824,0.0
44044,0.0
44220,0.0
44440,0.0
44616,0.0
44836,0.0
