time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
2024,0,0
2508,0,0
3036,0,0
3520,0,0
4048,0,0
4532,0,0
5016,0,0
5544,0,0
6072,0,0
6556,0,0
7084,0,0
7568,0,0
8096,0,0
8624,0,0
9108,0,0
9636,0,0
10164,0,0
10648,0,0
11176,0,0
11660,0,0
12188,0,0
12716,0,0
13244,0,0
13728,0,0
14256,0,0
14784,0,0
15312,0,0
15796,0,0
16324,0,0
16852,0,0
17336,0,0
17864,0,0
18348,0,0
18876,0,0
19360,0,0
19888,0,0
20416,0,0
20944,0,0
21428,0,0
21956,0,0
22440,0,0
22968,0,0
23452,0,0
23980,0,0
24464,0,0
24992,0,0
25520,0,0
26004,0,0
26532,0,0
27060,0,0
27588,0,0
28072,0,0
28600,0,0
29128,0,0
29612,0,0
30140,0,0
30668,0,0
31152,0,0
31680,0,0
32208,0,0
32692,0,0
33220,0,0
33704,0,0
34232,0,0
34716,0,0
35244,0,0
35772,0,0
36300,0,0
36784,0,0
37312,0,0
37840,0,0
38324,0,0
38852,0,0
39380,0,0
39908,0,0
40436,0,0
40920,0,0
41448,0,0
41976,0,0
42460,0,0
42988,0,0
43516,0,0
44000,0,0
44528,0,0
