time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2058,0,0
2548,0,0
3038,0,0
3528,0,0
4067,3861,7961
4557,0,0
5047,0,0
5586,0,0
6076,0,0
6615,0,0
7105,0,0
7595,0,0
8134,0,0
8624,0,0
9163,0,0
9653,0,0
10143,0,0
10682,0,0
11172,0,0
11711,0,0
12201,0,0
12691,0,0
13230,0,0
13720,0,0
14210,0,0
14749,0,0
15239,0,0
15729,0,0
16268,0,0
16758,0,0
17248,0,0
17738,0,0
18277,0,0
18767,0,0
19257,0,0
19747,0,0
20286,0,0
20776,0,0
21315,0,0
21805,0,0
22344,0,0
22834,0,0
23324,0,0
23814,0,0
24353,0,0
24843,0,0
25333,0,0
25872,0,0
26362,0,0
26901,0,0
27391,0,0
27881,0,0
28420,0,0
28910,0,0
29400,0,0
29939,0,0
30429,0,0
30919,0,0
31458,0,0
31948,0,0
32438,0,0
32977,0,0
33467,0,0
33957,0,0
34447,0,0
34986,0,0
35476,0,0
35966,0,0
36505,0,0
36995,0,0
37485,0,0
38024,0,0
38514,0,0
39004,0,0
39543,0,0
40033,0,0
40523,0,0
41013,0,0
41552,0,0
42042,0,0
42581,0,0
43071,0,0
43610,0,0
44100,0,0
44639,0,0
45129,0,0
45668,0,0
46158,0,0
46697,0,0
47187,0,0
47677,0,0
48216,0,0
48755,0,0
49245,0,0
49735,22224,11511
