time_ms,memory_kbytes
0,0
1029,0
2058,9916
2303,20524
2548,23784
2793,26000
3038,28900
3283,22900
3577,23820
3822,24556
4067,25124
4312,24728
4557,25400
4949,26996
5145,27072
5390,27812
5635,28136
5929,28872
6125,29456
6419,33168
6713,34476
6909,33772
7203,38048
7497,35652
7742,43688
7987,45380
8281,46220
8575,46776
8869,54168
9065,55064
9310,55936
9506,55936
9800,55936
10045,55936
10290,55916
10535,55048
10780,55096
11025,55096
11368,54080
11613,54192
11858,54788
12152,55232
12544,54560
12789,54632
13034,54876
13230,55176
13475,55176
13720,55176
13965,55176
14210,55152
14455,55152
14700,55152
14994,55392
15239,55144
15435,55144
15729,55144
15974,55144
16219,55136
16464,55116
16709,55120
16954,55120
17248,55120
17493,55208
17738,55208
18032,55676
18228,55784
18473,55784
18718,55784
18963,55784
19208,55784
19453,55784
19747,55784
19992,55784
20237,55784
20482,55784
20727,55784
20972,55784
21217,55784
21462,55784
21756,55784
22001,55784
22246,55784
22491,55784
22736,55784
22981,55784
23324,55896
23520,55948
23765,55976
24010,55976
24255,55976
24500,55976
24745,55976
24990,55976
25235,55976
25529,55960
25774,55960
26019,55960
26264,55960
26509,55960
26754,55960
26999,55960
27244,55960
27489,55960
27734,55960
28028,55960
28273,55960
28518,55960
28861,56128
29106,57248
29302,57260
29547,57264
29792,57264
30086,57264
30282,57264
30576,57264
30821,57264
31066,57264
31311,57264
31556,57264
31801,57264
32046,57264
32291,57264
32536,57264
32830,57264
33075,56392
33320,56392
33565,56392
33810,56392
34055,56392
34300,56392
34594,56480
34839,50064
35182,57900
35427,57980
35721,59328
35917,59628
36162,59616
36407,59616
36652,59616
36897,59616
37142,59616
37436,59564
37730,59620
37926,59620
38171,59620
38416,59620
38661,59620
38906,59624
39151,59624
39396,59624
39641,59624
39886,59624
40180,59624
40425,59624
40670,59624
40915,59624
41209,59672
41454,60112
41699,60168
41895,60168
42140,60168
42385,60168
42679,60168
42924,60168
43169,60168
43414,60152
43659,60152
43904,60152
44149,60152
44394,60152
44639,60152
44884,60152
45178,60152
45423,60152
45668,60152
45913,60152
46158,60152
46403,60152
46697,60224
46942,60080
47138,60108
47481,60212
47677,60300
47922,60300
48167,60300
48412,60300
48657,60300
48902,60300
49196,60300
49441,60300
49686,60300
