time_ms,memory_kbytes
0,0
396,0
1364,35908
1628,48388
1892,57904
2156,60208
2420,61556
2640,65484
2904,63664
3124,65524
3432,89180
3652,114504
3916,114532
4180,114532
4444,114532
4708,114532
4928,114532
5192,114532
5412,114548
5720,114596
5940,114596
6160,114596
6424,114596
6688,115100
6952,115100
7172,115100
7436,115172
7700,115064
7964,115064
8184,115064
8448,115064
8712,115064
8932,115324
9196,118984
9416,119012
9680,119016
9944,119044
10208,119044
10472,119044
10692,119784
10912,119612
11220,119612
11440,119612
11704,119612
11968,119612
12188,119612
12452,119612
12716,119612
12980,119720
13200,119720
13420,119720
13684,119720
13992,119720
14212,119720
14476,119720
14696,119640
14960,119664
15268,119788
15444,119788
15708,119788
15928,119788
16236,119788
16456,119788
16764,119788
16984,119788
17204,119788
17468,119788
17732,119788
17952,119788
18216,119788
18480,119788
18744,119788
18964,119788
19184,119788
19492,119788
19712,119788
19976,119788
20240,120060
20460,122116
20724,122120
20944,122120
21252,122120
21472,122120
21736,122120
21956,126540
22220,126552
22440,126552
22748,126552
22968,126552
23232,126552
23496,126552
23716,126552
23980,126552
24244,126552
24464,126552
24728,126552
24992,126552
25212,126552
25476,126552
25740,121620
25960,121624
26224,121624
26488,121624
26708,121624
26972,121624
27236,121624
27500,121624
27720,121624
27984,121624
28248,121624
28512,121624
28776,121624
28996,121624
29216,121624
29524,121624
29744,121624
29964,121624
30228,121624
30492,121624
30712,121624
30976,122456
31240,122492
31504,122300
31724,122300
31988,122300
32252,122300
32516,122276
32736,122336
33000,122232
33264,122200
33484,122200
33792,122200
34012,122200
34232,122200
34496,122200
34804,122200
34980,122200
35244,122200
35508,122200
35772,122200
35992,122200
36256,122200
36520,122200
36740,122248
37004,122644
37268,122624
37488,122624
37752,122624
38016,122624
38236,122624
38500,122624
38764,122624
38984,122624
39248,122624
39512,122624
39732,122624
39996,122624
40260,122624
40524,122624
40788,122624
41008,122624
41272,122624
41536,122624
41756,122624
42020,122624
42240,123352
42548,124952
42768,124952
42988,124952
43252,124952
43516,124952
43780,124952
44000,129400
44264,129144
44484,129144
44748,129144
