time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
4459,0,0
4949,0,0
5488,0,0
5978,0,0
6468,1918,4003
7007,0,0
7497,0,0
7987,0,0
8526,0,0
9065,0,0
9555,0,0
10045,0,0
10584,0,0
11074,0,0
11613,0,0
12103,0,0
12642,0,0
13132,0,0
13671,0,0
14161,0,0
14651,0,0
15190,0,0
15729,0,0
16219,0,0
16758,0,0
17248,0,0
17738,0,0
18277,0,0
18767,0,0
19306,0,0
19796,0,0
20335,0,0
20825,0,0
21364,0,0
21854,0,0
22393,0,0
22883,0,0
23422,0,0
23912,0,0
24451,0,0
24941,0,0
25480,0,0
25970,0,0
26509,0,0
26999,0,0
27538,0,0
28028,0,0
28567,0,0
29057,0,0
29596,0,0
30086,0,0
30576,0,0
31115,0,0
31605,0,0
32144,0,0
32634,0,0
33173,0,0
33663,0,0
34202,0,0
34692,0,0
35231,0,0
35721,0,0
36260,0,0
36750,0,0
37289,0,0
37779,0,0
38318,0,0
38808,0,0
39347,0,0
39837,0,0
40327,0,0
40866,0,0
41356,0,0
41846,0,0
42385,0,0
42924,0,0
43414,0,0
43953,0,0
44443,0,0
44982,0,0
45472,0,0
46011,0,0
46501,0,0
46991,0,0
47530,0,0
48020,0,0
48559,0,0
49049,0,0
49588,0,0
