time_ms,memory_kbytes
0,0
396,0
1408,20520
1584,22100
1848,21212
2068,22136
2332,40364
2552,59900
2816,61000
3080,61708
3300,61708
3564,61708
3784,61708
4136,61708
4312,61708
4576,61708
4796,61708
5060,61708
5280,61708
5588,61708
5852,61712
6072,61712
6292,61904
6600,61904
6864,61904
7084,61904
7348,61904
7568,61904
7876,61904
8052,62376
8316,62432
8580,62448
8888,62448
9152,62448
9284,62448
9592,62448
9900,62448
10164,62460
10296,62456
10604,62456
10824,62456
11220,62456
11308,62456
11572,62456
11880,62456
12100,62456
12408,62456
12584,62456
12848,62456
13156,62456
13420,62456
13552,62472
13816,63076
14080,63084
14388,63084
14608,63084
14872,63084
15136,63084
15400,63084
15576,63084
15840,63084
16148,63084
16412,63084
16632,63084
16896,63084
17160,63084
17380,63084
17688,63084
17864,63084
18172,63084
18348,63084
18612,63084
18876,63084
19096,63372
19404,70796
19624,70800
19888,73936
20108,73936
20328,73944
20636,73944
20900,74196
21164,74212
21384,74224
21648,74224
21956,74224
22088,74224
22352,74224
22704,74220
22880,74224
23144,74224
23364,74448
23628,74448
23936,74448
24200,74440
24420,74448
24596,74552
24948,74552
25124,74552
25344,74552
25696,74552
25872,74552
26092,74528
26356,74528
26752,74528
26840,74528
27104,74532
27368,74532
27720,74532
27896,74532
28204,74532
28380,74532
28688,74532
28908,74532
29128,74532
29348,74532
29612,74416
29876,66352
30140,69476
30448,66960
30712,66972
30888,66972
31196,66972
31416,66972
31636,66972
31900,66972
32208,66972
32428,66972
32648,66972
32956,66980
33132,66984
33352,66984
33616,66984
33880,66560
34100,66560
34408,66560
34628,66560
34936,66560
35112,66552
35376,66492
35640,66248
35948,66296
36124,66300
36476,66300
36696,66300
36916,66300
37136,66300
37400,66300
37752,66300
37884,66300
38192,66300
38456,66300
38764,66300
38896,66300
39160,66300
39468,66300
39688,66300
39908,66300
40128,66300
40480,66300
40656,66300
40964,66304
41140,66652
41404,67024
41712,67024
41976,67024
42196,67024
42416,67024
42680,67024
42988,67024
43164,67024
43384,67024
43648,67024
43956,67024
44220,67024
44484,67024
44704,67024
