time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1540,0,0
2024,0,0
2552,86669,7080
3036,0,0
3564,0,0
4092,0,0
4576,0,0
5104,0,0
5588,0,0
6116,0,0
6600,0,0
7128,0,0
7612,0,0
8140,0,0
8624,0,0
9152,0,0
9636,0,0
10164,0,0
10648,0,0
11176,0,0
11660,0,0
12144,0,0
12672,0,0
13200,0,0
13684,0,0
14168,0,0
14696,0,0
15180,0,0
15708,0,0
16192,0,0
16720,0,0
17204,0,0
17732,0,0
18216,0,0
18744,0,0
19228,0,0
19756,0,0
20240,0,0
20768,0,0
21252,0,0
21780,0,0
22308,0,0
22792,0,0
23320,0,0
23804,0,0
24332,0,0
24816,5114,6018
25344,57344,0
25828,0,0
26356,0,0
26840,0,0
27368,0,0
27896,0,0
28380,0,0
28908,0,0
29392,0,0
29920,0,0
30404,0,0
30932,0,0
31460,0,0
31944,0,0
32472,0,0
32956,0,0
33484,0,0
33968,0,0
34496,0,0
34980,0,0
35508,0,0
35992,0,0
36520,0,0
37004,0,0
37532,0,0
38016,0,0
38544,0,0
39028,0,0
39556,0,0
40040,0,0
40568,0,0
41052,0,0
41580,0,0
42064,0,0
42592,0,0
43076,0,0
43604,0,0
44132,0,0
44616,0,0
