time_ms,memory_kbytes
0,0
440,0
1452,23200
1672,25516
1936,29180
2156,66016
2420,69848
2684,69016
2904,69016
3168,69016
3432,69016
3696,69016
3960,69016
4224,69016
4488,69016
4708,69016
4972,69016
5236,69016
5500,69020
5720,69020
5940,69020
6248,69252
6468,69252
6732,69252
6996,69252
7216,69808
7524,77292
7744,77296
7964,80520
8272,80520
8492,80520
8756,80520
8976,80736
9240,80784
9504,80784
9724,80784
9988,80796
10252,80796
10516,80796
10736,80796
11000,80652
11220,80652
11528,80676
11748,80676
11968,80676
12276,80676
12496,80676
12716,80756
13024,80756
13244,80756
13508,80756
13728,80756
13992,80756
14256,80756
14520,80756
14740,80756
15004,80756
15268,80756
15532,80756
15752,80756
16016,80756
16236,80756
16500,80756
16720,80760
17028,80760
17248,80760
17512,80760
17776,80800
18040,76408
18216,72416
18568,76400
18744,76440
19008,76444
19272,76444
19492,76444
19756,76444
20020,76444
20240,76444
20504,76444
20768,76444
21032,76444
21296,76444
21516,76444
21780,76444
22044,76524
22264,76524
22528,76524
22792,76524
23056,76524
23276,76524
23496,76524
23804,76588
24024,76640
24288,76668
24552,76668
24772,76668
25036,76668
25300,76668
25520,76668
25740,76668
26048,76668
26268,76668
26488,76668
26840,76668
27016,76668
27280,76668
27544,76668
27764,76668
28028,76668
28292,76668
28512,76668
28776,76668
29040,76668
29304,76744
29524,77732
29788,77660
30008,77660
30316,77660
30536,77660
30800,77660
31064,77660
31284,77660
31548,77660
31812,77660
32032,77660
32340,77660
32560,77660
32780,77660
33044,77660
33308,77660
33528,77660
33792,77660
34056,77660
34320,77660
34540,77660
34804,77660
35068,77952
35288,80884
35552,81076
35816,81076
36080,81076
36300,81076
36608,81076
36828,81076
37048,81076
37312,81076
37576,81076
37796,81076
38060,81076
38280,81076
38588,81076
38808,81076
39072,81076
39292,81076
39600,81076
39820,81076
40084,81076
40304,81076
40568,81076
40788,81988
41096,82776
41316,82784
41536,82784
41800,82784
42064,82784
42284,82784
42592,82784
42812,82784
43076,82784
43340,82784
43604,82784
43824,82784
44088,82784
44308,82784
44572,82784
44792,82784
