time_ms,cpu_percent
0,0.0
572,0.0
1760,11.538
1936,16.875
2156,20.13
2376,18.519
2552,14.465
2772,0.0
2948,0.0
3168,0.0
3344,0.0
3564,0.0
3784,0.0
3960,0.0
4180,0.0
4356,0.0
4576,0.0
4752,0.0
4972,0.0
5192,0.0
5368,1.274
5588,0.0
5764,0.0
5984,0.0
6160,0.637
6380,0.0
6556,0.0
6776,0.0
6952,0.0
7172,1.258
7392,9.434
7568,5.195
7788,0.0
7964,1.29
8184,0.0
8360,0.0
8580,0.0
8756,0.0
8976,1.948
9196,6.211
9372,0.654
9592,1.266
9768,0.0
9988,0.0
10164,0.0
10384,0.0
10560,1.274
10780,0.0
11000,0.641
11176,0.0
11396,0.0
11572,0.633
11792,0.0
11968,0.621
12188,0.0
12364,0.0
12584,1.282
12804,3.922
12980,0.0
13200,0.0
13376,0.629
13596,0.0
13772,0.641
13992,0.0
14168,0.0
14388,0.641
14564,0.0
14784,1.258
15004,0.0
15180,0.0
15400,0.649
15576,0.0
15796,0.637
15972,0.0
16192,0.0
16368,0.645
16588,0.0
16808,1.282
16984,0.0
17204,0.0
17380,0.625
17600,0.0
17776,3.165
17996,9.677
18172,9.259
18392,19.355
18612,0.0
18788,0.621
19008,0.0
19184,0.0
19404,0.0
19580,0.0
19800,0.0
19976,0.0
20196,0.0
20416,0.0
20592,0.0
20812,0.0
20988,0.0
21208,0.0
21384,0.0
21604,0.0
21780,0.0
22000,0.0
22176,0.0
22396,0.0
22616,0.0
22792,0.0
23012,0.0
23188,0.0
23408,0.0
23584,0.0
23804,9.868
23980,2.454
24200,0.0
24420,1.899
24596,0.0
24816,0.0
24992,0.645
25212,0.0
25388,1.282
25608,4.459
25784,0.641
26004,1.258
26224,0.0
26400,0.645
26620,0.0
26796,0.0
27016,1.274
27192,0.0
27412,0.633
27588,0.0
27808,0.0
27984,1.258
28204,0.0
28424,0.637
28600,0.0
28820,0.0
28996,1.258
29216,5.128
29392,0.0
29612,0.0
29788,0.0
30008,0.0
30228,0.641
30404,0.0
30624,0.0
30800,0.637
31020,0.0
31196,0.625
31416,0.0
31592,0.0
31812,1.29
31988,0.0
32208,0.645
32428,0.0
32604,0.0
32824,0.633
33000,0.0
33220,0.633
33396,0.0
33616,0.0
33836,1.242
34012,0.0
34232,3.947
34408,8.28
34628,19.481
34804,1.923
35024,0.625
35200,0.0
35420,0.0
35640,0.0
35816,0.0
36036,0.0
36212,0.0
36432,0.0
36608,0.0
36828,0.0
37004,0.0
37224,0.0
37444,0.0
37620,0.0
37840,0.0
38016,0.0
38236,0.0
38412,0.0
38632,0.0
38808,0.0
39028,0.0
39204,0.0
39424,0.0
39644,0.0
39820,0.0
40040,6.369
40216,3.145
40436,0.0
40612,0.0
40832,0.0
41008,0.0
41228,0.0
41448,0.0
41624,0.0
41844,0.0
42020,0.0
42240,0.0
42416,0.0
42636,0.0
42812,0.0
43032,0.0
43252,0.0
43428,0.0
43648,0.0
43824,0.0
44044,0.0
44220,0.0
44440,0.0
44616,0.0
44836,0.0
