time_ms,memory_kbytes
0,0
308,0
1320,14924
1540,22712
1848,22896
2068,21572
2332,31616
2552,62696
2816,62192
3080,63408
3344,63408
3608,63408
3916,63408
4092,63408
4400,63408
4620,63408
4928,63408
5192,63408
5368,63408
5632,63408
5940,63408
6116,63408
6380,63660
6600,63572
6820,63572
7128,63572
7392,63572
7612,63572
7876,63576
8096,62516
8360,62636
8580,62640
8844,62640
9152,62652
9372,62652
9636,62652
9900,62652
10164,62652
10428,62652
10648,62652
10912,62652
11176,62652
11352,62652
11572,62652
11836,62652
12188,62652
12408,62664
12584,62664
12848,62664
13156,62620
13420,62620
13596,62732
13860,63296
14080,63300
14388,63300
14652,63300
14960,63300
15180,63300
15400,63300
15664,63300
15928,63300
16192,63300
16324,63300
16588,63300
16940,63300
17116,63300
17380,63300
17644,63300
17952,63300
18128,63300
18392,63300
18656,63300
18964,63300
19096,64048
19404,71080
19668,74236
19976,74236
20196,74220
20416,74220
20680,74212
20900,74520
21164,74540
21384,74548
21648,74548
22000,74548
22176,74540
22396,74548
22660,74548
22968,74552
23232,74784
23364,74784
23672,74784
23936,74784
24156,74776
24420,74804
24728,74884
24904,74872
25124,74884
25388,74884
25652,74884
25872,74876
26136,74884
26444,74888
26664,74888
26928,74888
27236,74888
27456,74880
27720,74888
27896,74880
28116,74888
28380,74888
28732,74888
28996,74892
29172,74892
29436,74880
29656,68196
29964,65976
30140,66940
30404,66412
30712,67728
30932,67728
31240,67728
31416,67728
31680,67728
31988,67728
32164,67728
32428,67728
32736,67728
32956,67728
33220,67728
33440,67728
33704,67308
33924,67308
34144,67308
34408,67308
34716,67308
34936,67308
35200,67308
35464,67268
35640,67268
35904,67420
36124,67392
36476,67392
36740,67392
37004,67392
37180,67392
37444,67392
37796,67392
37884,67392
38192,67392
38500,67392
38764,67392
38984,67392
39160,67392
39468,67392
39732,67392
39996,67392
40216,67392
40480,67392
40656,67392
40920,67392
41184,67432
41404,67732
41756,67744
42020,67744
42152,67744
42460,67744
42724,67744
42944,67744
43208,67744
43472,67744
43780,67744
43956,67744
44220,67744
44484,67744
44792,67744
