time_ms,memory_kbytes
0,0
1127,0
2107,5656
2352,6108
2646,6700
2940,6312
3136,7920
3381,11304
3626,10436
4018,12260
4214,18228
4606,30724
4851,32436
5047,31672
5292,30200
5537,30432
5880,30840
6125,31264
6370,31404
6566,32292
6811,32260
7056,32000
7301,32000
7546,32000
7791,32000
8036,32000
8281,32020
8575,32020
8820,32020
9065,32020
9310,31840
9555,31840
9849,32424
10094,31464
10339,31804
10584,29748
10829,29748
11074,31344
11319,31344
11613,30740
11809,30744
12054,30744
12299,30744
12544,30744
12789,30744
13083,30744
13328,30744
13573,30748
13818,30732
14063,30740
14308,30764
14553,30764
14798,30764
15043,30764
15337,30764
15582,30212
15827,30212
16072,30212
16317,30212
16562,30212
16807,30212
17052,30212
17297,30212
17542,30212
17836,30212
18081,30212
18326,30212
18571,30116
18816,30116
19061,30120
19306,30120
19551,30120
19796,30120
20041,30120
20335,30120
20580,30200
20874,27440
21217,34084
21560,34024
21805,34260
22099,34824
22295,35136
22491,35140
22785,35140
23030,35140
23275,35140
23520,35140
23765,35140
24010,35140
24255,35140
24500,35140
24745,35116
24990,35116
25284,35116
25480,35116
25774,35116
26019,35116
26264,35116
26509,35116
26754,35116
26999,35116
27244,35116
27538,35128
27832,35236
28028,35248
28273,35248
28518,35248
28763,35248
29008,35248
29253,35248
29498,35248
29743,35248
29988,35248
30282,35248
30527,35248
30772,35248
31017,35248
31262,35248
31507,35248
31801,35248
31997,35248
32242,35248
32536,35248
32781,35248
33075,35380
33320,34056
33516,34048
33761,34052
34006,34052
34251,34052
34545,34052
34790,34052
35035,34052
35280,34052
35525,34052
35770,34052
36015,34052
36260,34052
36505,34052
36750,34052
36995,34052
37289,34052
37534,34052
37779,34052
38024,34052
38269,34048
38514,34052
38857,34136
39102,34636
39298,34840
39592,35300
39788,35308
40033,35308
40278,35308
40523,35308
40768,35308
41062,35308
41307,35308
41552,35308
41797,35308
42042,35308
42287,35308
42532,35308
42777,35308
43071,35308
43316,35308
43561,35308
43806,35308
44051,35308
44296,35308
44541,35308
44835,35336
45080,35604
45325,35608
45570,35608
45815,35608
46060,35608
46305,35608
46550,35608
46795,35608
47040,35608
47285,35608
47579,35608
47775,35608
48069,35608
48314,35608
48559,35608
48804,35608
49049,35608
49294,35608
49539,35608
49784,35608
