time_ms,memory_kbytes
0,0
450,0
1440,22292
1665,25272
1890,29128
2160,65796
2385,66912
2655,69452
2880,69452
3150,69452
3375,69452
3645,69452
3915,69452
4185,69452
4455,69452
4680,69452
4950,69452
5175,69452
5445,69456
5670,69456
5895,69456
6210,69700
6435,69700
6705,69700
6975,69700
7200,69568
7425,69568
7695,70088
7965,70128
8235,70132
8460,70132
8685,70132
8955,70132
9225,70132
9495,70132
9720,70132
9945,70144
10215,70144
10485,70144
10710,70144
10935,70144
11205,70144
11475,70144
11700,70144
11925,70156
12240,70156
12465,70156
12735,70156
12960,70156
13185,71212
13455,70868
13680,70872
13995,70872
14220,70872
14490,70872
14715,70872
14985,70872
15255,70872
15480,70872
15705,70872
15975,70872
16245,70872
16470,70872
16740,70872
16965,70872
17280,70872
17460,70872
17730,70872
18000,70872
18225,70872
18495,70872
18765,74684
18990,78880
19215,78880
19485,82108
19755,82108
19980,82108
20205,82108
20475,82364
20700,82376
21015,82376
21240,82376
21465,82352
21735,82352
22005,82352
22230,82352
22500,82352
22725,82352
23040,82244
23265,82244
23490,82228
23760,82228
23985,82228
24300,82328
24480,82328
24750,82328
24975,82328
25245,82328
25470,82328
25740,82332
26010,82332
26235,82332
26505,82332
26775,82332
27000,82332
27225,82332
27495,82332
27765,82332
27990,82332
28215,82332
28485,82332
28755,82332
29025,82332
29250,73240
29520,73472
29790,74860
29970,78516
30285,78520
30510,78520
30735,78520
31005,78520
31275,78520
31500,78520
31770,78520
31995,78520
32265,78520
32490,78520
32760,78520
33030,78520
33255,77936
33525,77936
33750,77936
34020,77936
34290,77936
34560,77936
34740,77936
35010,77936
35280,78000
35505,78108
35775,78120
36000,78120
36270,78120
36540,78120
36765,78120
36990,78120
37260,78120
37530,78120
37755,78120
38025,78120
38295,78120
38520,78120
38790,78120
39060,78120
39285,78120
39510,78120
39780,78120
40050,78120
40275,78120
40545,78120
40770,78464
41040,78960
41265,78964
41535,78964
41805,78964
42030,79000
42255,79000
42525,79000
42795,79000
43020,79000
43290,79000
43560,79000
43785,79000
44055,79000
44325,79000
44550,79000
44775,79000
