time_ms,cpu_percent
0,0.0
396,0.0
1584,12.338
1804,21.935
1980,13.636
2200,14.013
2376,13.125
2596,18.239
2816,20.513
2992,24.684
3212,23.077
3388,21.384
3608,18.59
3784,3.797
4004,0.0
4180,0.0
4400,0.0
4620,0.0
4796,0.0
5016,0.0
5192,0.0
5412,0.0
5588,0.0
5808,0.0
6028,0.0
6204,0.0
6424,1.227
6600,0.629
6820,0.0
6996,0.0
7216,0.0
7392,0.0
7612,0.0
7832,0.0
8008,0.0
8228,0.0
8404,0.0
8624,2.548
8800,9.091
9020,5.769
9196,3.086
9416,0.641
9636,0.0
9812,0.0
10032,0.0
10208,0.0
10428,0.0
10604,0.0
10824,0.0
11000,0.0
11220,0.0
11440,0.0
11616,0.0
11836,0.0
12012,0.0
12232,0.0
12408,0.0
12628,0.0
12804,1.274
13024,0.0
13244,0.0
13420,0.0
13640,0.0
13816,0.0
14036,0.0
14212,0.0
14432,6.41
14608,2.532
14828,0.633
15048,0.0
15224,0.0
15444,0.0
15620,0.0
15840,0.0
16016,0.0
16236,0.0
16412,0.0
16632,0.0
16852,0.0
17028,0.0
17248,0.0
17424,0.0
17644,0.0
17820,0.0
18040,0.0
18260,0.0
18436,0.0
18656,0.0
18832,0.0
19052,0.0
19228,0.0
19448,0.0
19668,0.0
19844,4.459
20064,6.494
20240,10.692
20460,14.013
20636,25.478
20856,22.152
21032,15.686
21252,3.774
21428,0.0
21648,0.0
21868,0.0
22044,0.0
22264,0.0
22440,0.0
22660,0.0
22836,0.0
23056,0.0
23232,0.0
23452,0.0
23672,0.0
23848,0.0
24068,0.0
24244,0.0
24464,0.0
24640,0.0
24860,0.0
25080,0.0
25256,1.887
25476,5.063
25652,4.321
25872,1.923
26048,0.0
26268,0.0
26444,0.0
26664,0.0
26884,0.0
27060,0.0
27280,0.0
27456,0.0
27676,0.0
27852,0.0
28072,0.0
28248,0.0
28468,0.0
28688,0.0
28864,0.0
29084,0.0
29260,0.0
29480,0.0
29656,0.0
29876,0.0
30052,4.294
30272,3.871
30492,1.258
30668,0.637
30888,0.0
31064,0.0
31284,0.0
31460,0.0
31680,0.0
31900,0.0
32076,0.0
32296,0.0
32472,0.0
32692,0.0
32868,0.0
33088,0.0
33264,0.0
33484,0.0
33704,0.0
33880,0.0
34100,0.0
34276,0.0
34496,2.516
34672,12.102
34892,12.179
35068,21.935
35288,20.915
35508,5.161
35684,11.039
35904,1.258
36080,1.274
36300,13.208
36476,15.033
36696,12.025
36872,8.553
37092,5.844
37268,6.369
37488,13.208
37708,15.19
37884,3.165
38104,3.145
38280,10.625
38500,7.547
38676,8.228
38896,3.822
39072,4.487
39292,8.974
39468,16.026
39688,5.063
39908,5.128
