time_ms,memory_kbytes
0,0
273,0
1248,20168
1521,28028
1755,30076
1989,31864
2262,30596
2496,45900
2769,65724
3042,68028
3276,72868
3510,72780
3783,76936
4056,78592
4290,78592
4602,78592
4797,78592
5109,78592
5343,78592
5499,78588
5772,78588
6045,78588
6357,78928
6630,78792
6864,78792
7137,78792
7371,78792
7566,78792
7839,78792
8112,78792
8346,78792
8580,78792
8814,79132
9048,81276
9399,81424
9555,81424
9789,81424
10101,81424
10374,81424
10530,81424
10764,82400
11037,82416
11349,82416
11544,82416
11856,82416
12168,82416
12402,82416
12597,82416
12870,82416
13143,82416
13299,82416
13533,82416
13923,82416
14118,82416
14313,82472
14547,82004
14820,98116
15054,113404
15288,113408
15561,113408
15873,113408
16107,113408
16302,113408
16575,113408
16887,113408
17160,113408
17316,113408
17667,113408
17901,113408
18135,113408
18369,113408
18642,113408
18837,113648
19071,113648
19383,113648
19617,113648
19812,113648
20124,92552
20319,92580
20553,92584
20826,92584
21138,92584
21411,92584
21567,92584
21801,92584
22113,92584
22425,92584
22659,92584
22854,92584
23127,92584
23400,92584
23595,92584
23829,92584
24102,92584
24375,92740
24609,95840
24804,95956
25155,95976
25389,95976
25584,95976
25857,95976
26130,95976
26403,95976
26637,95976
26832,95976
27105,95976
27417,95976
27651,95976
27885,95976
28119,95976
28392,95976
28626,95976
28860,95976
29094,96056
29328,95952
29601,96408
29874,89152
30186,89152
30342,89152
30576,89152
30927,89152
31122,89152
31395,97444
31590,96816
31824,96816
32097,96816
32370,96816
32682,96816
32838,96816
33072,96816
33384,96816
33696,96816
33852,96816
34086,83188
34359,83192
34710,83192
34944,83192
35139,83192
35451,83192
35685,83192
35919,83192
36231,83192
36387,83192
36621,83192
36933,83192
37167,83192
37479,83192
37674,83192
37986,83192
38103,83192
38376,92564
38610,107492
38883,115980
39117,120784
39351,175392
39624,190568
