time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1560,0,0
2067,0,0
2574,15183,4036
3081,37129,19911
3588,0,0
4095,0,0
4602,0,0
5070,0,0
5577,0,0
6084,0,0
6591,0,0
7098,0,0
7605,0,0
8112,0,0
8619,0,0
9126,0,0
9633,0,0
10101,0,0
10608,0,0
11115,0,0
11622,0,0
12129,0,0
12636,0,0
13182,0,0
13689,0,0
14196,0,0
14703,0,0
15210,0,0
15717,0,0
16263,0,0
16770,0,0
17277,0,0
17784,0,0
18291,0,0
18798,0,0
19305,0,0
19851,0,0
20319,0,0
20826,0,0
21333,0,0
21840,0,0
22347,0,0
22854,0,0
23361,0,0
23868,0,0
24375,0,0
24882,0,0
25389,0,0
25896,0,0
26403,0,0
26910,0,0
27417,0,0
27924,0,0
28470,0,0
28977,0,0
29445,0,0
29952,0,0
30459,0,0
30966,0,0
31473,0,0
31980,0,0
32487,0,0
32994,0,0
33501,0,0
34008,0,0
34515,0,0
35022,0,0
35529,0,0
36036,0,0
36543,0,0
37050,0,0
37557,0,0
38064,0,0
38571,0,0
39078,1350435,49877
39585,0,0
