time_ms,memory_kbytes
0,0
1408,0
2420,15652
2728,11936
2904,11668
3168,12264
3432,12864
3652,13688
3916,13504
4180,15584
4444,16152
4708,16652
5060,16432
5280,18516
5544,28252
5852,36496
6116,36856
6380,36856
6732,36828
6952,38096
7260,38680
7524,39648
7744,42312
8008,40540
8228,39108
8492,39304
8756,39744
9020,42304
9240,45496
9504,46196
9724,46220
9988,46220
10208,46220
10472,46220
10736,46220
10956,46220
11220,46220
11484,46220
11704,46220
11968,46220
12188,46220
12452,45224
12716,45224
12936,45224
13200,45208
13464,45208
13684,45208
13948,45208
14212,45208
14476,45208
14740,45268
15004,45640
15224,45644
15444,45644
15708,45644
15972,45644
16192,45644
16456,45644
16720,45644
16984,45644
17204,45644
17468,45644
17732,45644
17952,45644
18216,45644
18436,45644
18700,45644
18964,45644
19228,45644
19448,45644
19712,45644
19976,45644
20284,45668
20504,45820
20900,46032
21296,45744
21604,46076
22000,46668
22396,49092
22792,47724
23056,47924
23232,48228
23496,48228
23760,48228
23980,48228
24244,48224
24508,48216
24772,48216
24992,48216
25256,48216
25520,48216
25740,48216
26004,48216
26224,48216
26488,48216
26752,48216
26972,48216
27280,48224
27544,48232
27764,48240
27984,48248
28248,48248
28512,48248
28732,48248
28996,48248
29260,48248
29480,48248
29744,48248
30008,48248
30228,48248
30492,48248
30756,48248
30976,48248
31240,48248
31504,48248
31768,48248
31988,48248
32340,48108
32560,48072
32780,48080
33000,48080
33264,48080
33528,48080
33748,48080
34012,48080
34276,48080
34496,48080
34760,48080
35024,48080
35244,48080
35508,48080
35772,48080
35992,48080
36256,48080
36520,48080
36872,48152
37092,48860
37356,49324
37840,57212
38104,59228
38720,56760
39072,63180
39292,63816
39644,64076
40040,64240
40348,64772
40568,64740
40832,64608
41140,64584
41360,64176
41712,64164
42020,65272
42636,64712
42900,66928
43428,66672
43736,65400
43956,65656
44176,65656
44440,65656
44660,65656
