time_ms,cpu_percent
0,0.0
1078,0.0
2303,21.519
2499,38.75
2695,43.59
2891,25.0
3087,28.205
3283,30.38
3479,15.385
3675,29.487
3871,23.75
4116,34.177
4312,30.263
4508,25.316
4704,22.892
4900,25.926
5096,32.051
5292,42.5
5488,23.75
5684,29.114
5880,34.615
6076,45.0
6321,43.75
6517,41.026
6713,32.468
6909,23.457
7105,39.744
7301,45.679
7497,46.25
7693,44.156
7889,35.0
8085,34.146
8281,32.911
8477,10.0
8722,2.532
8918,6.494
9114,0.0
9310,0.0
9506,0.0
9702,0.0
9898,0.0
10094,0.0
10290,0.0
10486,0.0
10682,0.0
10878,0.0
11123,0.0
11319,0.0
11515,0.0
11711,0.0
11907,0.0
12103,0.0
12299,0.0
12495,0.0
12691,0.0
12887,0.0
13083,0.0
13279,13.924
13524,29.487
13720,12.048
13916,1.282
14112,1.25
14308,0.0
14504,1.266
14700,19.753
14896,3.659
15092,10.39
15337,0.0
15533,1.266
15729,0.0
15925,0.0
16121,0.0
16317,0.0
16513,1.25
16709,0.0
16905,0.0
17101,1.25
17346,0.0
17542,1.25
17738,0.0
17934,0.0
18130,1.266
18326,0.0
18522,1.266
18718,0.0
18914,20.779
19110,11.111
19306,32.5
19502,5.128
19747,0.0
19943,1.25
20139,0.0
20335,0.0
20531,0.0
20727,0.0
20923,2.532
21119,0.0
21315,0.0
21511,0.0
21707,0.0
21903,0.0
22148,0.0
22344,0.0
22540,1.22
22736,0.0
22932,5.063
23128,5.063
23324,0.0
23520,1.266
23716,0.0
23912,0.0
24108,0.0
24304,0.0
24549,12.346
24745,22.5
24941,23.75
25137,27.16
25333,25.316
25529,24.691
25725,21.519
25921,29.487
26117,47.436
26313,49.383
26509,58.974
26754,53.75
26950,48.75
27146,34.615
27342,32.099
27538,2.564
27734,0.0
27930,0.0
28126,0.0
28322,0.0
28518,13.924
28714,18.987
28910,21.25
29155,25.0
29351,21.519
29547,10.127
29743,20.988
29939,25.676
30135,23.457
30331,36.25
30527,29.487
30723,23.75
30919,22.785
31115,27.848
31360,21.795
31556,24.051
31752,27.5
31948,26.506
32144,31.646
32340,23.75
32536,18.987
32732,7.317
32928,16.667
33124,17.5
33320,20.0
33516,21.25
33761,23.75
33957,19.481
34153,26.25
34349,19.753
34545,37.5
34741,30.38
34937,37.037
35133,31.25
35329,21.519
35525,15.0
35721,6.25
35917,18.519
36162,23.457
36358,19.231
36554,0.0
36750,1.22
36946,0.0
37142,0.0
37338,0.0
37534,0.0
37730,0.0
37926,0.0
38122,0.0
38318,0.0
38563,0.0
38759,0.0
38955,0.0
39151,0.0
39347,0.0
39543,2.532
39739,12.821
39935,13.75
40131,7.5
40327,0.0
40523,0.0
40719,0.0
40964,0.0
41160,0.0
41356,0.0
41552,1.25
41748,0.0
41944,0.0
42140,0.0
42336,0.0
42532,0.0
42728,0.0
42924,0.0
43120,0.0
43365,0.0
43561,0.0
43757,0.0
43953,0.0
44149,21.519
44345,10.976
44541,11.392
44737,1.25
44933,0.0
