time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2068,0,0
2552,0,0
3080,0,0
3564,0,0
4092,0,0
4576,0,0
5104,13523,2284
5588,0,0
6116,0,0
6600,22732,1080
7084,0,859
7612,0,0
8096,0,0
8624,0,0
9108,0,0
9636,88419,14088
10120,0,0
10648,9124,3368
11132,0,0
11660,0,0
12144,0,0
12672,0,0
13156,0,0
13640,0,0
14168,0,0
14652,0,0
15180,0,0
15664,0,0
16192,0,0
16676,0,0
17204,0,0
17688,0,0
18172,0,0
18700,0,0
19184,0,0
19712,0,0
20196,11465,1584
20724,0,0
21208,6959,2309
21736,68583,14436
22220,0,0
22748,8455,2568
23232,0,0
23716,0,0
24244,0,0
24728,0,0
25256,0,0
25784,0,0
26268,13333,6605
26796,358575,21337
27280,1439031,26125
27808,2413003,40965
28292,0,0
28820,964989,30705
29304,0,0
29832,22215,7808
30316,0,0
30844,74545,3733
31328,249447,31756
31812,346962,19032
32340,0,19403
32868,3060,0
33352,0,0
33836,0,0
34364,0,0
34892,0,0
35376,4836,7302
35904,0,0
36388,0,0
36916,0,0
37400,0,0
37884,0,0
38412,0,0
38896,0,0
39424,0,0
39908,0,0
40436,0,0
40920,0,0
41448,0,0
41932,0,0
42460,0,0
42944,0,0
43472,0,0
43956,0,0
44484,37620,12994
