time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
2024,238,445
2508,49473,26134
3036,9908,0
3520,0,0
4048,0,0
4576,0,0
5060,0,0
5588,0,0
6116,0,0
6644,0,0
7128,0,0
7656,0,0
8140,0,0
8668,0,0
9152,126755,10784
9680,2151635,328198
10164,0,0
10692,0,0
11220,0,0
11748,0,0
12232,0,0
12760,0,0
13244,0,0
13772,0,0
14300,879,2820
14784,182897,39593
15312,0,0
15796,0,0
16324,0,0
16852,0,0
17380,0,0
17908,0,0
18436,0,0
18920,0,0
19448,0,0
19976,0,0
20504,1538,2580
21032,0,0
21516,0,0
22044,0,0
22528,0,0
23056,0,0
23584,0,0
24068,0,0
24596,0,0
25124,0,0
25608,0,0
26136,0,0
26664,0,0
27192,0,0
27676,0,0
28204,0,0
28732,0,0
29260,0,0
29744,0,238
30272,49784,20915
30756,139608,16315
31284,0,0
31812,0,0
32296,0,0
32824,0,0
33308,0,0
33836,0,0
34364,0,0
34848,0,0
35376,1069552,60413
35904,3097821,47262
36388,0,0
36916,195832,61777
37444,76973,0
37928,0,0
38456,0,0
38984,0,0
39512,3773,7835
39996,0,0
40524,0,0
41052,0,0
41580,0,0
42064,0,0
42592,0,0
43120,0,0
43604,0,0
44132,23960,13821
44660,0,0
