time_ms,memory_kbytes
0,0
429,0
1443,31732
1677,32816
1911,38740
2184,45760
2457,63260
2691,79480
2964,82012
3198,87972
3432,89664
3666,89664
3939,89664
4212,89664
4485,89664
4719,89664
4953,89664
5226,89660
5499,89660
5694,89660
5967,89660
6240,90064
6474,90064
6747,90064
7020,89920
7215,89920
7488,89920
7722,89920
7995,89920
8268,90384
8463,93752
8697,94688
8970,94692
9282,94692
9477,94692
9789,94692
10023,94944
10257,94944
10530,94944
10725,94944
11037,94944
11271,94944
11466,94944
11739,94944
11973,94944
12246,94944
12519,94996
12792,94996
12987,94996
13299,94996
13533,94996
13767,94996
14001,95148
14274,96196
14508,96196
14781,96196
15015,96196
15249,96196
15483,96196
15756,96196
16029,96196
16302,96196
16497,96196
16770,96196
17004,96196
17277,96196
17511,96196
17784,96196
18018,96196
18252,96196
18564,96196
18759,96196
18993,96196
19266,96196
19539,96400
19773,96412
20007,98148
20319,103368
20592,98076
20787,100632
21021,100632
21255,100632
21528,100632
21801,100632
22035,100632
22269,100632
22503,100632
22776,100632
23049,100628
23244,100628
23517,100628
23751,100628
24024,100628
24297,100628
24531,100628
24765,100028
24999,100144
25272,100188
25545,100132
25779,100132
26013,100132
26286,100132
26520,100132
26754,100132
27066,100132
27261,100132
27573,100132
27807,100132
28002,100132
28275,100132
28548,100132
28782,100132
29055,100132
29250,100132
29523,100196
29757,100292
30030,100276
30303,100276
30537,100276
30771,100276
31005,100276
31278,100276
31551,100276
31785,100276
32019,100276
32292,100276
32526,100276
32799,100276
33033,100276
33267,100276
33540,100276
33813,100276
34047,100300
34242,106392
34554,147316
34827,142860
35061,145108
35295,145204
35529,145040
35841,147440
36075,146408
36309,148616
36543,148684
36855,149104
37011,149708
37323,150076
37557,150992
37830,151228
38064,151896
38298,152016
38532,153628
38766,153812
39039,148636
39273,148688
39507,149140
39780,149068
