time_ms,memory_kbytes
0,0
312,0
1326,19916
1560,27936
1833,31744
2067,31232
2301,31316
2574,33836
2886,62512
3120,71324
3354,71920
3588,73800
3900,79480
4212,79536
4329,79536
4602,79536
4914,79536
5148,79536
5421,79536
5694,79532
5928,79532
6162,79532
6435,79876
6669,79680
6864,79520
7137,79520
7449,79520
7644,79520
7956,79520
8190,79520
8346,79520
8658,79520
8853,80352
9126,82212
9360,80872
9672,80872
9984,80876
10140,81028
10374,81028
10725,81028
10998,81028
11115,81028
11388,81036
11700,81036
11856,81036
12168,81028
12402,81028
12675,81028
12909,81028
13143,81028
13377,81028
13689,81028
13962,81032
14157,81040
14352,81360
14625,81352
14937,81364
15132,81360
15405,81368
15717,81360
15912,81368
16185,81360
16458,81372
16692,81372
16926,81372
17238,81368
17472,81368
17706,81364
17979,81368
18174,81360
18408,81368
18681,81360
18954,81368
19149,81364
19383,81376
19617,81948
19890,80312
20163,81516
20397,87552
20631,92020
20904,92056
21216,92056
21450,92056
21606,92056
21918,92056
22230,92056
22425,92056
22698,92056
22932,92052
23283,92052
23400,92052
23673,92132
23868,88184
24141,113908
24414,115596
24726,116208
24960,116684
25155,116684
25467,118084
25701,119356
25974,119940
26169,120576
26403,146588
26637,187596
26910,187664
27183,195808
27456,194676
27651,194724
27963,194828
28197,194844
28392,176420
28665,177088
28938,184456
29172,184456
29445,184456
29718,184456
29913,184456
30186,184456
30420,184456
30771,140040
30966,140040
31161,140040
31434,140012
31746,140012
31941,140012
32253,140012
32487,140012
32799,139644
32916,129500
33189,127228
33423,127228
33735,127228
34008,127232
34164,127236
34437,127240
34710,127240
35022,127240
35256,127240
35490,127240
35802,127240
35919,127240
36192,127240
36465,127240
36777,127240
36972,127240
37206,127840
37440,136384
37713,136384
38025,136384
38181,136388
38454,136388
38766,136324
39000,136324
39312,136324
39507,136324
39741,136324
