time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2538,0,0
3078,0,0
3564,0,0
4050,731,7085
4590,2403,0
5076,10399,2026
5562,9842,525
6102,0,2077
6588,33919,6360
7128,0,0
7614,13335,5755
8100,0,0
8586,0,0
9126,0,0
9612,0,0
10098,0,0
10638,0,0
11124,0,0
11610,0,0
12150,0,0
12636,0,0
13122,0,0
13662,0,0
14148,0,0
14634,0,0
15174,0,0
15660,0,0
16146,0,0
16686,53059,7083
17172,151511,24008
17712,0,0
18198,655038,35068
18684,716888,0
19224,10070,38213
19710,88100,0
20250,0,13876
20736,6325,0
21222,0,0
21762,888,2817
22248,91406,22141
22734,0,0
23274,0,0
23760,32631,11903
24246,0,0
24786,2633,1188
25272,4197,1176
25758,0,0
26298,0,0
26784,0,0
27270,0,0
27810,0,0
28296,0,0
28782,0,0
29322,0,0
29808,0,0
30294,0,0
30834,2212,3767
31320,0,0
31806,0,0
32346,0,0
32832,0,0
33318,0,0
33858,0,0
34344,0,0
34884,0,0
35370,0,0
35856,0,0
36396,0,0
36882,0,0
37368,0,0
37908,0,0
38394,0,0
38880,0,0
39420,0,0
39906,0,0
40392,0,0
40932,11833,2782
41418,9667,5431
41904,107032,18909
42444,0,0
42930,0,0
43416,0,0
43956,0,0
44442,0,0
44928,0,0
45468,0,0
45954,0,0
46494,0,0
46980,61634,8199
47520,1645377,52642
48006,300101,0
48492,122713,23374
49032,2210294,15356
49518,0,0
50004,0,0
50544,680666,41442
51030,0,0
51516,0,0
52056,0,0
52542,0,0
53028,0,0
53568,0,0
54054,0,0
54540,0,0
