time_ms,memory_kbytes
0,0
1470,0
2450,15432
2695,11608
2940,11812
3185,12360
3479,12936
3724,12368
3969,14256
4214,16196
4508,20196
4753,16476
4998,16900
5341,26564
5684,29096
6027,36572
6223,37044
6566,37732
6909,39428
7154,38572
7350,38772
7742,39832
7987,40588
8232,40568
8526,40868
8869,41344
9065,43384
9310,43384
9555,43380
9800,43380
10045,43380
10290,43380
10535,43380
10780,43380
11025,43380
11270,43380
11564,43380
11809,43380
12054,43380
12299,43380
12544,43380
12789,43380
13034,43380
13279,43380
13524,43380
13867,42916
14112,43716
14308,44444
14553,44464
14798,44484
15043,44484
15288,44484
15533,44484
15827,38072
16072,37736
16317,38072
16513,38072
16807,38072
17052,38072
17297,38072
17542,38072
17787,38072
18032,38072
18277,38072
18522,38072
18816,38072
19061,38072
19306,38072
19551,38072
19845,37100
20139,41112
20433,44196
20776,42532
21168,50568
21413,50800
21609,50604
21854,50604
22099,50604
22344,50604
22589,50604
22834,50604
23128,50604
23373,50604
23618,50604
23863,50604
24108,50604
24353,50604
24598,50604
24843,50600
25088,50600
25382,50564
25627,50564
25872,50564
26117,50564
26362,50564
26656,45852
26901,45864
27097,45864
27342,45864
27587,45864
27832,45864
28126,45864
28371,45864
28616,45864
28861,45864
29106,45864
29351,45864
29596,45864
29841,45864
30086,45864
30380,45864
30625,45864
30870,46060
31213,48920
31409,49016
31605,49020
31899,49020
32144,49020
32389,49020
32634,49020
32879,49020
33124,49020
33369,49020
33614,49020
33859,49020
34104,49020
34398,49020
34643,49020
34888,49020
35133,49016
35378,49016
35672,48424
35917,48432
36260,48684
36505,48460
36701,48408
36946,48408
37191,48408
37485,48408
37730,48408
38024,48408
38220,48172
38465,48172
38710,48172
38955,48172
39200,48172
39445,48172
39690,48172
39984,48172
40229,48172
40474,48172
40768,48204
41013,48260
41209,48268
41454,48268
41699,48268
41944,48268
42238,48268
42483,48268
42728,48268
42973,48268
43218,48268
43463,48268
43708,48268
43953,48268
44198,48268
44443,48268
44688,48268
44982,48268
45325,48408
45619,48804
45815,51192
46354,56476
46844,59676
47334,62184
47628,63668
48020,63188
48265,64688
48510,65276
48804,65056
49196,64944
49490,65704
49686,65924
