time_ms,memory_kbytes
0,0
440,0
1452,32584
1716,33336
1936,36084
2288,64256
2464,67032
2728,82296
2948,84824
3212,90132
3476,91052
3784,91052
4004,91052
4268,91052
4532,91052
4752,91052
5060,91052
5280,91048
5500,91048
5764,91048
6028,91048
6248,91460
6512,91460
6732,91460
6996,91300
7260,91300
7524,91300
7744,91300
8008,91300
8272,92024
8492,95408
8712,141912
9064,126852
9284,130920
9504,131524
9768,140740
9988,152804
10252,155796
10516,155796
10824,155736
11044,155704
11264,155704
11572,155704
11792,155296
12012,145780
12276,145780
12540,145780
12760,145616
13024,145616
13244,145616
13508,145616
13772,145556
14036,145556
14256,146380
14564,155296
14872,163820
15048,158956
15268,160728
15576,160736
15752,160736
16060,160736
16280,160736
16544,160736
16808,160736
17028,160204
17292,160212
17556,160212
17820,160212
18040,160212
18304,160212
18524,160100
18832,160100
19052,160108
19316,160108
19536,160108
19800,160108
20064,160100
20284,160100
20548,149232
20812,149388
21032,149076
21296,149400
21560,149400
21824,149400
22044,149400
22308,149400
22528,149400
22792,149400
23056,149400
23276,149400
23540,149400
23804,149400
24068,149400
24332,149400
24552,149400
24772,162520
25036,163040
25344,162988
25608,162988
25784,162988
26048,162988
26356,162988
26576,162988
26840,162988
27060,162988
27324,162988
27588,162988
27808,162988
28072,162988
28336,162988
28556,162988
28864,162988
29084,162988
29304,162988
29568,163064
29832,163052
30052,169760
30316,172604
30580,181056
30800,181244
31064,181244
31328,181244
31592,181244
31856,181244
32076,181244
32296,181244
32604,181244
32868,181244
33088,181244
33308,181244
33616,181244
33836,181244
34056,181244
34320,181244
34584,181244
34804,182140
35112,175268
35332,178944
35596,177280
35860,207984
36080,252532
36344,268596
36564,288520
36828,288784
37092,288804
37356,288804
37576,288804
37840,288804
38104,266612
38324,266300
38632,265688
38852,265696
39072,265576
39336,190812
39644,174720
39820,174720
40128,174536
40304,174536
40612,174536
40876,174536
41096,174536
41316,174536
41624,174536
41888,174536
42108,174536
42328,174536
42636,174536
42856,174536
43076,174536
43340,174536
43648,163992
43824,24784
44044,0
