time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
1980,732,7027
2508,68516,21698
2992,0,0
3476,0,0
4004,0,0
4488,0,0
5016,0,0
5544,0,0
6028,0,0
6556,0,0
7040,0,0
7568,0,0
8096,0,0
8580,0,0
9108,617212,53596
9592,1554185,52122
10120,0,0
10648,0,0
11176,0,0
11660,0,0
12188,0,0
12716,0,0
13244,0,0
13728,0,0
14256,1991,7037
14784,157844,34987
15268,0,0
15796,0,0
16324,0,0
16852,0,0
17336,0,0
17864,0,0
18348,0,0
18876,0,0
19404,0,0
19932,0,0
20460,0,0
20944,2191,3935
21472,0,0
21956,0,0
22484,0,0
23012,0,0
23496,0,0
24024,0,0
24508,0,0
25036,0,0
25564,0,0
26048,0,0
26576,0,0
27060,0,0
27588,0,0
28116,0,0
28644,0,0
29172,0,0
29700,0,0
30184,18937,4926
30712,167196,43142
31240,0,0
31768,0,0
32252,0,0
32780,0,0
33308,0,0
33836,0,0
34320,0,0
34848,0,0
35332,4105322,177738
35860,0,0
36388,2195198,170755
36916,0,0
37400,0,0
37928,0,0
38456,0,0
38984,0,0
39468,2862,3044
39996,0,0
40524,0,0
41052,0,0
41536,0,0
42064,0,0
42592,0,0
43076,0,0
43604,0,0
44088,24940,14499
44616,0,0
