time_ms,cpu_percent
0,0.0
390,0.0
1599,17.61
1794,14.744
1989,13.665
2184,15.385
2379,17.881
2574,24.841
2808,25.641
3003,23.567
3198,18.065
3393,3.205
3588,0.0
3783,0.0
3978,0.0
4212,0.0
4407,0.0
4602,0.0
4797,0.0
4992,0.0
5187,0.0
5382,0.0
5616,0.0
5811,0.0
6006,0.0
6201,0.645
6396,0.0
6591,0.0
6786,0.0
6981,0.0
7215,0.0
7410,0.0
7605,0.0
7800,0.0
7995,0.0
8190,0.641
8385,8.387
8580,4.459
8814,0.633
9009,0.0
9204,0.0
9399,1.242
9594,0.0
9789,0.0
9984,0.662
10218,0.0
10413,1.274
10608,0.0
10803,0.0
10998,1.29
11193,0.0
11388,1.875
11622,0.0
11817,0.0
12012,1.258
12207,0.0
12402,0.617
12597,0.0
12792,0.0
13026,1.266
13221,0.0
13416,0.645
13611,2.516
13806,7.595
14001,0.637
14196,0.633
14391,0.0
14625,0.0
14820,0.645
15015,0.0
15210,0.641
15405,0.0
15600,0.0
15795,1.258
16029,0.0
16224,0.621
16419,0.0
16614,0.0
16809,1.266
17004,0.0
17238,1.266
17433,0.0
17628,0.0
17823,0.637
18018,0.0
18213,0.621
18408,0.0
18603,0.0
18798,1.242
19032,1.25
19227,14.013
19422,8.228
19617,31.847
19812,29.697
20007,15.823
20202,2.564
20436,0.0
20631,0.0
20826,0.0
21021,0.0
21216,0.0
21411,0.0
21606,0.0
21840,0.0
22035,0.0
22230,0.0
22425,0.0
22620,0.0
22815,0.0
23010,0.0
23205,10.063
23439,14.907
23634,19.018
23829,11.921
24024,0.645
24219,3.75
24414,6.41
24609,10.828
24843,0.0
25038,3.75
25233,3.871
25428,0.0
25623,0.0
25818,0.0
26013,0.629
26247,8.553
26442,1.274
26637,0.0
26832,0.0
27027,0.0
27222,0.0
27417,0.0
27612,0.0
27846,1.242
28041,3.125
28236,10.0
28431,0.654
28626,0.0
28821,0.0
29055,0.0
29250,0.0
29445,0.0
29640,0.0
29835,0.0
30030,0.0
30225,0.0
30420,0.0
30654,0.0
30849,0.0
31044,0.0
31239,0.0
31434,0.0
31629,0.0
31863,0.0
32058,0.0
32253,0.0
32448,11.875
32643,0.625
32838,0.0
33033,0.0
33267,0.0
33462,0.629
33657,0.0
33852,0.0
34047,0.0
34242,0.0
34437,0.0
34671,0.0
34866,0.0
35061,0.0
35256,0.0
35451,0.0
35646,0.0
35841,0.0
36075,0.0
36270,0.0
36465,0.0
36660,6.369
36855,6.329
37050,0.0
37245,0.637
37440,0.0
37674,0.629
37869,0.0
38064,0.0
38259,0.641
38454,0.0
38649,0.633
38844,0.621
39078,0.0
39273,0.633
39468,0.0
39663,0.629
39858,0.0
