time_ms,cpu_percent
0,0.0
507,0.0
1716,12.579
1911,15.584
2106,15.094
2301,13.208
2496,13.462
2691,12.579
2925,0.0
3120,0.0
3315,0.0
3510,0.0
3705,0.0
3900,0.0
4095,0.0
4329,0.0
4524,0.0
4719,0.0
4914,0.0
5109,0.0
5304,0.0
5499,0.0
5733,0.0
5928,0.0
6123,0.0
6318,0.0
6513,0.629
6708,1.274
6903,10.968
7137,21.935
7332,9.554
7527,12.987
7722,3.311
7917,13.208
8112,29.56
8307,49.359
8502,44.231
8736,40.625
8931,10.39
9126,11.95
9321,11.392
9516,8.75
9711,8.642
9906,45.283
10140,41.509
10335,14.013
10530,10.063
10725,8.125
10920,10.256
11115,5.988
11310,5.806
11544,4.375
11739,7.097
11934,9.615
12129,2.532
12324,1.266
12519,10.39
12714,16.129
12909,12.025
13143,15.19
13338,10.759
13533,12.195
13728,8.805
13923,9.554
14118,9.816
14313,8.387
14508,9.554
14742,2.532
14937,0.0
15132,2.581
15327,1.274
15522,3.205
15717,0.0
15912,0.0
16146,0.0
16341,0.0
16536,0.0
16731,0.629
16926,2.484
17121,0.0
17316,11.18
17550,4.403
17745,1.258
17940,4.294
18135,3.205
18330,2.564
18525,0.633
18720,1.887
18954,1.282
19149,1.935
19344,1.22
19539,1.923
19734,26.452
19929,19.62
20124,12.903
20358,0.629
20553,1.266
20748,0.0
20943,8.917
21138,16.129
21333,1.282
21528,0.0
21723,0.0
21957,0.0
22152,0.0
22347,0.0
22542,0.0
22737,1.266
22932,0.0
23127,4.545
23361,0.0
23556,0.0
23751,0.0
23946,0.637
24141,0.0
24336,3.125
24531,5.031
24765,0.0
24960,0.0
25155,3.125
25350,0.0
25545,0.0
25740,0.0
25974,0.0
26169,0.0
26364,1.923
26559,1.266
26754,0.0
26949,0.0
27144,0.0
27339,0.0
27573,2.5
27768,0.0
27963,0.0
28158,0.0
28353,0.0
28548,1.274
28743,9.554
28977,3.774
29172,1.274
29367,0.645
29562,1.212
29757,1.282
29952,1.316
30147,3.106
30342,1.274
30576,1.299
30771,1.863
30966,0.625
31161,1.923
31356,1.258
31551,5.488
31746,15.686
31941,11.95
32175,3.106
32370,0.0
32565,10.063
32760,13.291
32955,0.0
33150,0.0
33345,0.0
33579,1.19
33774,0.0
33969,0.0
34164,0.0
34359,0.0
34554,0.0
34749,0.0
34983,0.0
35178,4.375
35373,1.266
35568,1.899
35763,0.0
35958,1.266
36153,3.727
36387,1.266
36582,0.0
36777,0.0
36972,0.0
37167,3.185
37362,0.0
37557,0.0
37791,0.0
37986,0.0
38181,0.0
38376,2.564
38571,0.0
38766,0.0
39000,0.0
39195,0.0
39390,1.274
39585,0.637
39780,0.0
