time_ms,memory_kbytes
0,0
312,0
1326,21168
1560,30728
1833,33612
2106,33224
2340,30480
2574,46544
2925,56772
3120,56772
3315,56772
3627,56772
3900,56772
4212,56772
4329,56772
4602,56772
4914,56772
5187,56772
5343,56772
5577,56772
5850,56772
6201,56772
6396,56772
6591,57060
6825,66236
7176,69812
7410,69812
7605,69812
7878,69812
8190,69812
8385,69812
8580,71404
8853,71420
9282,71420
9360,71448
9633,71448
9984,71448
10179,71448
10374,71448
10647,71448
10920,71448
11154,71448
11349,67412
11700,79040
11856,79040
12129,79040
12441,79040
12675,79196
12948,79192
13143,79652
13377,79660
13689,79660
13962,79660
14118,79660
14352,79660
14703,79660
14976,79660
15171,79660
15444,79660
15639,68772
15912,68776
16185,68776
16458,68740
16653,68740
16965,68740
17199,68888
17355,68888
17628,68888
17940,68888
18213,68888
18369,68888
18642,68888
18915,68700
19110,68700
19383,68700
19695,68700
19890,69016
20124,70548
20397,70588
20631,70588
20865,70588
21138,70588
21450,70588
21723,70588
21879,70588
22152,70588
22464,70588
22659,70588
22971,70588
23205,70588
23439,70588
23712,70588
23985,70588
24141,70756
24414,70756
24726,70756
24921,70756
25194,70756
25389,70852
25662,74724
25896,76740
26130,76760
26403,75316
26676,79032
26910,81364
27144,88100
27378,84412
27651,84576
27924,85360
28158,85508
28470,88516
28626,89040
28938,91288
29172,91640
29445,91696
29679,92124
29913,92636
30186,88840
30498,89656
30732,90372
30927,90436
31161,90640
31434,90652
31668,90680
31941,90684
32175,90724
32409,117760
32643,98064
32916,99964
33150,100040
33540,100160
33657,100160
33891,100160
34203,100432
34515,100432
34710,100432
34944,100432
35217,100556
35490,100716
35724,100716
35958,100716
36153,100856
36387,100804
36699,100804
37050,101076
37167,101076
37401,100976
37674,100896
37986,100896
38220,100896
38454,100896
38649,83584
38922,83596
39234,83596
39507,83596
39702,83596
