time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1560,0,0
2067,0,0
2574,0,0
3081,0,0
3588,0,0
4095,0,0
4602,0,0
5109,0,0
5616,0,0
6123,0,0
6630,0,0
7137,0,0
7644,0,0
8151,0,0
8619,0,0
9126,0,0
9633,0,0
10140,0,0
10647,0,0
11154,0,0
11661,0,0
12168,0,0
12675,0,0
13182,0,0
13689,0,0
14196,0,0
14703,0,0
15210,0,0
15717,0,0
16224,0,0
16731,0,0
17238,0,0
17745,0,0
18252,0,0
18759,0,0
19266,0,0
19773,0,0
20280,0,0
20787,0,0
21294,0,0
21801,0,0
22308,0,0
22815,0,0
23322,0,0
23829,0,0
24336,0,0
24843,0,0
25350,0,0
25857,22794,5861
26364,0,0
26832,3309955,58863
27339,4413106,26816
27846,4296731,53708
28353,7600777,43640
28860,9371850,100967
29367,6453027,26317
29874,10142993,121337
30381,1850126,0
30888,10288877,118045
31356,6025745,49386
31863,9172570,78676
32370,0,0
32877,212786,4444
33384,0,0
33891,207060,3906
34398,0,0
34905,0,0
35412,190622,8571
35919,0,0
36426,120260,2723
36933,0,0
37440,0,0
37947,193085,5743
38454,0,0
38961,178922,3927
39468,0,0
