time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2597,0,0
3087,0,0
3577,0,0
4067,0,0
4606,0,0
5096,0,0
5586,0,0
6076,0,0
6615,0,0
7105,0,0
7595,0,0
8085,0,0
8624,0,0
9114,16741,1968
9604,0,684
10143,3976,500
10633,0,0
11123,8848,1486
11662,247596,7519
12152,0,0
12642,206,503
13181,47050,2735
13671,22134,1421
14161,45069,2108
14700,0,0
15190,16743,1976
15680,237818,4882
16170,0,0
16709,301597,11163
17199,0,0
17689,181652,3858
18179,0,0
18718,135008,5670
19208,0,0
19698,0,0
20237,264761,12589
20727,0,0
21217,206,469
21707,257511,4255
22246,0,0
22736,206,503
23226,0,0
23765,319207,12341
24255,0,0
24745,0,0
25284,19157,4683
25774,0,0
26264,208972,7702
26754,0,0
27293,22594,1332
27783,0,0
28273,206,505
28763,0,0
29302,0,0
29792,189010,7536
30282,0,0
30772,208777,11560
31311,0,0
31801,0,0
32291,206,504
32830,27835,569
33320,0,290
33810,0,0
34349,206,504
34839,0,0
35329,0,0
35868,288207,11051
36358,0,0
36848,206,504
37338,286789,10248
37877,0,0
38367,286571,9923
38857,0,0
39347,243237,4220
39886,0,0
40376,259510,6935
40915,0,0
41405,0,0
41895,243993,5053
42385,0,0
42924,327932,12488
43414,0,0
43904,20599,1331
44394,287011,9833
44933,0,0
45423,329439,6293
45913,0,0
46403,206,504
46942,291897,6110
47432,0,0
47922,290366,6084
48461,0,0
48951,293247,5875
49441,0,0
49980,221484,5664
