time_ms,memory_kbytes
0,0
1026,0
2052,7476
2322,8116
2538,7944
2808,8520
3132,10452
3348,11452
3564,11360
3834,13212
4104,24000
4320,26848
4536,26848
4806,26848
5022,26848
5292,26848
5562,26848
5778,26848
6048,26848
6264,26848
6534,26848
6804,26848
7020,26404
7290,26404
7560,26372
7830,26372
8046,26372
8316,30200
8586,31120
8964,32108
9180,33072
9450,32888
9666,32428
9990,32428
10260,32952
10476,34152
10800,34388
11124,35068
11340,34040
11610,33992
11880,34212
12204,34836
12528,35416
12798,35600
13176,35972
13662,36612
13986,36644
14310,37332
14634,37648
14904,38200
15066,40048
15390,38832
15660,42000
15822,42024
16092,42024
16362,42024
16578,41536
16848,42484
17118,40808
17334,41072
17604,41312
17820,41352
18090,41352
18360,41336
18576,41336
18846,41344
19116,41336
19332,41312
19602,41312
19872,42040
20142,42168
20412,42416
20628,42560
20898,42584
21114,42428
21384,42436
21654,42444
21978,43216
22410,44720
22680,45456
22950,46032
23220,46636
23544,42104
23814,42652
24030,42532
24246,43724
24516,43956
24732,44444
25002,44760
25218,44888
25488,44888
25758,44888
25974,44888
26244,44944
26460,45172
26730,45172
27000,45172
27216,45176
27486,45180
27756,45280
28026,45428
28296,43420
28512,43660
28728,43680
28998,43680
29214,43680
29484,43680
29754,44204
30024,39468
30240,39392
30510,39392
30726,39392
30996,39308
31212,39284
31482,39364
31752,39364
32022,39364
32238,39372
32508,39460
32778,43448
33048,43436
33264,43432
33588,43644
33912,45156
34182,46016
34452,46412
34722,46708
34992,48672
35208,45736
35424,46068
35694,46040
35964,46076
36180,46076
36450,46076
36666,46076
36936,46100
37206,46300
37422,46300
37692,46300
37962,46300
38178,46468
38448,46508
38718,46672
38988,46708
39366,46508
39744,48264
40014,50780
40338,52220
40554,48116
40770,49140
41040,50188
41256,50188
41526,50188
41742,49740
42012,49740
42228,49740
42498,49748
42768,49768
43038,50020
43254,49996
43524,49996
43740,49996
44010,49996
44280,50244
44550,46748
44766,46748
44982,46756
45252,46756
45522,46836
45738,47132
46008,47132
46224,47132
46494,47140
46764,47144
46980,47144
47250,47144
47520,47316
47736,47356
48006,47484
48276,47528
48492,47528
48816,47492
49032,47712
49248,47688
49518,47688
49788,47688
50004,47688
50274,47760
50544,47740
50760,47740
51030,47740
51246,47728
51516,47928
51786,47928
52002,47928
52272,47928
52542,47936
52758,48132
53136,40928
53352,41256
53568,41316
53730,0
53946,0
