time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1404,0,0
1911,0,0
2418,0,0
2886,0,0
3393,0,0
3900,0,0
4407,0,0
4953,0,0
5460,0,0
5967,0,0
6474,0,0
6981,22764,6384
7488,9214799,72516
7995,13727363,49764
8502,9020960,66277
9009,14613181,50316
9516,7776898,59926
10023,15593634,45516
10530,0,0
11076,0,0
11583,199,482
12090,546482,9811
12597,0,0
13104,0,0
13611,0,0
14118,222027,6217
14625,0,0
15171,211885,10557
15678,0,0
16185,204,496
16692,0,0
17199,0,0
17745,179887,3690
18252,0,0
18759,154719,3338
19266,0,0
19773,205993,4309
20319,0,0
20826,0,0
21333,196727,7797
21840,0,0
22347,182532,7256
22854,0,0
23361,191440,7672
23868,0,0
24375,169444,6119
24882,0,156
25428,0,0
25935,150456,3087
26442,0,0
26949,148382,3132
27495,0,0
28002,90416,1807
28509,0,0
29016,0,0
29562,185875,7192
30069,0,0
30576,100353,4179
31083,0,0
31590,155044,5745
32097,0,0
32604,0,0
33111,212573,8281
33618,0,0
34125,157224,6570
34671,0,0
35178,102828,3889
35685,0,0
36192,0,0
36738,139667,5699
37245,0,0
37752,225457,5590
38259,0,0
38766,141022,4206
39312,0,0
39819,0,0
