time_ms,memory_kbytes
0,0
78,0
1092,21272
1365,32124
1560,34820
1833,32292
2067,62208
2340,62588
2574,62588
2808,62588
3081,62588
3315,62588
3588,62616
3861,62616
4134,62616
4407,62616
4602,62616
4836,62616
5109,62616
5382,62616
5577,62616
5850,62616
6123,62832
6318,75184
6630,77984
6864,78160
7137,79200
7449,86108
7683,84488
7878,90136
8112,90656
8385,90816
8619,90964
8853,91324
9126,91444
9360,96544
9633,93884
9906,94744
10140,96032
10374,96884
10608,97092
10881,97368
11115,97492
11388,97712
11661,97940
11895,97916
12129,121580
12363,106220
12636,106224
12870,107076
13143,107076
13416,107076
13611,107184
13884,107184
14157,107184
14391,107208
14664,107388
14859,107404
15132,107404
15366,107404
15678,107404
15912,107560
16146,107540
16380,107608
16653,107608
16887,107724
17121,78464
17394,78504
17628,78504
17940,78504
18135,78504
18408,78532
18642,78508
18915,78508
19149,78508
19422,78432
19656,78848
19890,78868
20163,78868
20397,78868
20631,78868
20904,78880
21138,78856
21372,98568
21684,106580
21879,106792
22230,106832
22425,106832
22698,106832
22893,106832
23166,106996
23400,107004
23634,107004
23907,107004
24180,107004
24414,107196
24687,107196
24921,107196
25155,107196
25467,107408
25662,107420
25896,107420
26169,107420
26403,86780
26676,86780
26949,86964
27144,86964
27417,86964
27690,86964
27963,87040
28197,87052
28392,87052
28704,87052
28899,87052
29172,87088
29445,87100
29718,87100
29952,87100
30186,87272
30498,108328
30654,119400
30927,111448
31161,112032
31434,112332
31707,112352
31902,112352
32175,112352
32448,112352
32721,112260
32916,112272
33150,112272
33462,112272
33657,112272
33930,112272
34164,112452
34437,112404
34710,112404
34944,112572
35178,112576
35412,112644
35685,91936
35958,91940
36192,91940
36426,92020
36699,92028
36933,92028
37206,92028
37440,92028
37674,92196
37986,92196
38181,92196
38454,92196
38688,92336
38961,92348
39195,92348
39429,92348
39702,92352
