time_ms,cpu_percent
0,0.0
396,0.0
1584,15.0
1760,11.834
1980,10.059
2156,14.474
2376,0.0
2596,0.0
2772,0.0
2992,0.0
3168,0.0
3388,0.0
3564,0.0
3784,0.0
3960,0.0
4180,0.0
4400,0.0
4576,0.0
4796,0.0
4972,0.0
5192,0.0
5368,0.0
5588,0.0
5764,0.0
5984,0.0
6160,0.0
6380,11.333
6600,18.471
6776,13.725
6996,8.75
7172,3.797
7392,3.165
7568,4.294
7788,4.459
7964,3.75
8184,3.797
8404,18.421
8580,28.188
8800,16.456
8976,15.723
9196,2.439
9372,0.0
9592,0.0
9768,0.0
9988,0.0
10208,1.25
10384,4.545
10604,17.901
10780,3.727
11000,0.0
11176,0.0
11396,0.637
11572,0.0
11792,5.696
12012,0.0
12188,0.0
12408,0.0
12584,1.242
12804,0.0
12980,0.0
13200,3.145
13376,7.237
13596,3.774
13772,8.75
13992,7.19
14212,4.516
14388,3.871
14608,3.704
14784,3.727
15004,5.0
15180,3.846
15400,4.268
15576,22.436
15796,18.987
16016,7.643
16192,1.84
16412,0.0
16588,3.125
16808,16.667
16984,0.0
17204,0.0
17380,4.43
17600,2.564
17820,0.0
17996,0.0
18216,0.0
18392,0.0
18612,1.923
18788,0.0
19008,2.581
19184,0.0
19404,0.0
19580,0.0
19800,1.266
20020,0.0
20196,7.547
20416,5.66
20592,0.0
20812,0.0
20988,3.896
21208,0.0
21384,0.0
21604,0.0
21824,0.0
22000,2.532
22220,3.145
22396,4.403
22616,0.0
22792,0.0
23012,0.0
23188,0.0
23408,1.274
23584,3.165
23804,0.0
24024,0.0
24200,0.0
24420,0.0
24596,7.742
24816,8.917
24992,3.226
25212,3.311
25388,4.027
25608,4.375
25828,4.321
26004,17.5
26224,15.244
26400,24.161
26620,1.25
26796,0.0
27016,3.165
27192,0.613
27412,4.516
27632,0.625
27808,0.0
28028,0.0
28204,0.629
28424,0.0
28600,0.0
28820,0.0
28996,0.0
29216,0.0
29436,0.621
29612,3.727
29832,0.0
30008,0.0
30228,0.0
30404,0.0
30624,10.759
30800,28.025
31020,5.769
31240,3.797
31416,5.195
31636,0.621
31812,3.704
32032,0.637
32208,1.258
32428,0.0
32604,0.0
32824,0.0
33044,0.629
33220,0.0
33440,1.282
33616,0.0
33836,0.0
34012,0.0
34232,0.629
34408,0.0
34628,0.0
34804,1.863
35024,0.0
35244,0.0
35420,1.25
35640,2.454
35816,6.329
36036,0.0
36212,0.0
36432,0.0
36608,1.25
36828,0.0
37048,0.0
37224,3.774
37444,0.0
37620,0.0
37840,5.031
38016,0.0
38236,0.0
38412,0.0
38632,0.0
38852,0.0
39028,0.641
39248,3.125
39424,0.0
39644,0.0
39820,0.0
