time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1440,0,0
1960,0,0
2440,0,0
2960,1052,12855
3440,2086,0
3960,0,0
4440,0,0
4960,0,0
5440,0,0
5960,0,0
6480,0,0
6960,0,0
7480,22667,5827
7960,83546,0
8480,3472023,67106
9000,4395246,54575
9480,6175705,61633
10000,8405469,113991
10480,4475502,48435
11000,13353351,116031
11480,1156372,39358
12000,13046727,87417
12520,406460,14162
13000,15826056,112789
13520,0,28791
14000,15804804,151200
14520,214595,0
15000,13901421,96491
15520,1234911,3259
16000,15224914,102271
16520,0,0
17040,18869,4492
17520,0,0
18040,130670,2956
18560,0,0
19040,0,0
19560,207,470
20040,411087,15582
20560,0,0
21040,254053,11675
21560,0,0
22080,2282,4922
22600,0,0
23080,201,489
23600,331548,10859
24120,0,0
24600,0,0
25120,0,0
25600,181034,7146
26120,0,0
26640,206,500
27120,227685,7913
27640,10133,1285
28160,0,0
28640,0,0
29160,209340,4857
29640,0,0
30160,19462,1291
30640,0,0
31160,0,0
31680,36983,1907
32160,0,0
32680,25729,1541
33200,0,0
33680,207,502
34200,47604,1409
34720,0,0
35200,207,501
35720,0,0
36200,273233,14981
36720,54972,0
37200,131661,3305
37720,0,0
38240,0,0
38720,196499,4281
39240,0,0
39720,155030,3400
