time_ms,memory_kbytes
0,0
396,0
1408,21580
1628,30548
1892,32752
2200,33016
2420,31588
2684,57368
2992,57444
3212,57536
3432,57536
3696,57536
4004,57536
4224,57536
4444,57536
4752,57536
4972,57536
5280,57536
5456,57536
5720,57536
6028,57536
6204,57536
6468,57664
6776,58164
6908,66416
7172,69568
7436,71084
7700,72440
7920,72476
8184,72484
8404,72324
8712,73400
8932,73100
9152,74656
9416,77436
9680,78268
9944,80612
10164,80732
10472,80732
10780,80748
10956,80748
11264,80916
11440,80916
11792,80916
11968,80896
12232,80996
12496,80952
12672,80952
13024,80964
13200,81272
13464,81272
13684,81756
13948,81768
14212,78148
14432,78372
14696,79168
14960,79184
15224,79192
15488,79208
15752,79216
15972,80400
16192,82092
16456,85176
16764,85292
17028,85292
17204,87568
17512,83964
17820,83972
17996,83984
18260,83984
18568,83984
18744,83984
19008,83988
19272,83848
19492,83848
19712,83848
20064,83848
20196,83852
20460,84028
20724,84100
20944,88468
21296,88476
21560,88488
21824,88668
22044,88668
22264,88672
22484,91480
22704,91816
22968,91816
23320,91816
23452,91816
23716,91816
24024,92024
24244,92024
24508,92024
24816,92024
25080,92036
25212,87352
25476,88788
25740,88460
25960,88464
26224,88420
26488,90436
26708,92032
26972,92216
27236,92496
27500,92540
27808,92568
28028,92380
28292,92380
28556,92380
28820,92392
28996,92392
29260,92392
29568,92392
29744,92568
30008,92584
30316,92584
30448,92584
30756,92584
30976,92796
31240,99932
31460,96848
31724,96820
32032,96828
32252,97004
32516,97144
32824,97252
33088,97252
33264,97252
33528,97264
33836,97260
34100,97372
34232,97372
34540,97372
34848,97396
35068,97396
35244,97496
35464,97716
35772,97716
35992,80500
36344,80500
36608,80500
36784,80500
37048,80500
37356,80516
37488,80564
37752,80564
38104,80564
38324,80628
38500,80764
38764,80764
39028,80764
39336,80764
39556,80780
39820,80984
40128,97412
40260,81084
40524,81088
40788,81300
41096,81300
41360,81300
41492,81300
41800,81300
42020,81500
42328,81500
42592,81500
42812,81500
42988,81668
43296,81680
43516,81680
43868,81680
44044,81680
44308,89920
44484,72828
44792,0
