time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2548,0,0
3087,0,0
3577,0,0
4067,1049,13305
4606,2084,0
5096,0,0
5586,0,0
6076,0,0
6615,0,0
7105,0,0
7595,0,0
8085,0,0
8624,0,0
9114,16553,1946
9604,0,1912
10143,0,0
10633,0,0
11123,111762,4732
11613,0,0
12152,0,0
12642,71674,5740
13132,1584,62
13671,177706,6341
14161,0,0
14651,424177,25364
15141,2653110,1844
15680,5973077,48749
16170,0,0
16660,8929461,90861
17199,1810848,60186
17689,8816501,112205
18179,3245709,99611
18669,230906,0
19208,4902063,49814
19698,306656,0
20188,52519,14501
20678,377734,0
21217,4944899,78714
21707,2319314,2273
22197,8952492,133488
22736,2751059,47933
23226,8770820,156791
23716,1651294,29104
24206,9874188,169121
24745,1311727,23317
25235,9036907,150927
25725,0,0
26264,9698136,154157
26754,0,0
27244,1939,3357
27783,256630,3226
28273,0,4496
28812,109029,11271
29302,0,0
29792,205,497
30282,333713,11318
30821,0,0
31311,250311,9300
31801,0,0
32291,1403,2353
32830,0,0
33320,176973,6908
33810,0,0
34349,202,490
34839,230706,5690
35329,9124,1890
35868,0,0
36358,0,0
36848,208949,6071
37338,0,0
37877,206,504
38367,0,0
38857,0,0
39396,207728,5609
39886,0,0
40376,35859,1073
40866,0,0
41405,206,500
41895,0,0
42385,89682,2107
42924,0,2162
43414,27147,0
43904,0,500
44394,0,0
44933,245249,8676
45423,0,0
45913,0,0
46403,205,502
46942,682237,23484
47432,0,0
47922,0,0
48461,0,0
48951,201749,5881
49441,0,0
