time_ms,cpu_percent
0,0.0
1470,0.0
2646,27.848
2891,28.75
3087,11.392
3283,24.359
3479,26.923
3675,32.5
3871,41.772
4067,32.911
4263,16.456
4459,0.0
4655,0.0
4851,0.0
5047,0.0
5292,0.0
5488,0.0
5684,0.0
5880,0.0
6076,0.0
6272,0.0
6468,0.0
6664,0.0
6860,2.439
7056,0.0
7252,0.0
7448,0.0
7693,0.0
7889,0.0
8085,0.0
8281,9.756
8477,20.0
8673,26.25
8869,29.487
9065,19.753
9261,22.667
9457,33.75
9653,20.253
9898,28.75
10094,30.864
10290,23.75
10486,26.25
10682,32.911
10878,13.924
11074,26.582
11270,17.284
11466,9.091
11662,13.924
11858,29.487
12103,28.75
12299,35.802
12495,33.333
12691,35.443
12887,36.709
13083,31.25
13279,33.766
13475,37.975
13671,34.146
13867,27.848
14112,36.25
14308,30.38
14504,35.897
14700,42.857
14896,35.802
15092,31.646
15288,41.25
15484,37.5
15680,23.75
15876,0.0
16072,0.0
16268,0.0
16513,2.439
16709,2.469
16905,32.5
17101,47.436
17297,25.926
17493,27.5
17689,32.051
17885,12.346
18081,0.0
18277,1.25
18473,0.0
18669,0.0
18914,0.0
19110,13.75
19306,0.0
19502,0.0
19698,7.5
19894,21.25
20090,12.346
20286,25.0
20482,17.5
20678,13.924
20874,5.195
21070,3.75
21315,6.579
21511,3.704
21707,6.329
21903,7.895
22099,27.848
22295,31.25
22491,38.272
22687,32.5
22883,34.615
23079,30.38
23275,24.359
23520,19.753
23716,37.5
23912,38.75
24108,28.75
24304,17.5
24500,0.0
24696,0.0
24892,6.494
25088,20.732
25284,11.688
25480,42.5
25676,30.769
25921,33.75
26117,38.75
26313,2.469
26509,3.896
26705,0.0
26901,0.0
27097,0.0
27293,0.0
27489,3.75
27685,0.0
27881,0.0
28077,0.0
28322,8.75
28518,22.5
28714,22.5
28910,1.299
29106,0.0
29302,0.0
29498,0.0
29694,3.704
29890,8.861
30086,0.0
30282,2.667
30478,6.41
30723,0.0
30919,6.41
31115,7.5
31311,3.846
31507,0.0
31703,0.0
31899,0.0
32095,0.0
32291,0.0
32487,3.75
32683,0.0
32879,3.704
33124,18.987
33320,6.667
33516,18.75
33712,35.0
33908,30.38
34104,28.395
34300,27.5
34496,25.974
34692,30.0
34888,37.5
35084,40.0
35329,27.5
35525,29.114
35721,22.785
35917,13.75
36113,0.0
36309,0.0
36505,0.0
36701,0.0
36897,0.0
37093,13.924
37289,0.0
37485,0.0
37730,0.0
37926,0.0
38122,3.75
38318,0.0
38514,0.0
38710,6.329
38906,8.974
39102,22.5
39298,41.772
39494,35.0
39690,39.744
39886,46.154
40131,40.0
40327,33.333
40523,40.0
40719,43.21
40915,26.923
41111,7.595
41307,8.0
41503,2.5
41699,1.282
41895,1.25
42091,12.987
42287,0.0
42532,0.0
42728,0.0
42924,0.0
43120,14.286
43316,1.299
43512,0.0
43708,0.0
43904,0.0
44100,1.282
44296,17.284
44492,11.392
44737,13.75
44933,0.0
45129,0.0
45325,3.75
45521,12.821
45717,0.0
45913,0.0
46109,0.0
46305,0.0
46501,3.75
46697,11.111
46893,0.0
47138,0.0
47334,0.0
47530,0.0
47726,0.0
47922,15.0
48118,0.0
48314,0.0
48510,3.846
48706,13.58
48902,16.883
49098,0.0
49294,0.0
49539,0.0
49735,0.0
49931,0.0
