time_ms,memory_kbytes
0,0
1421,0
2450,8476
2695,8296
2989,9064
3283,10996
3430,10768
3773,13192
3969,14212
4263,27608
4459,27980
4704,27980
4949,27980
5194,27980
5439,27980
5684,27980
5929,27980
6223,27980
6419,27980
6713,27980
6958,27388
7203,27388
7448,27352
7693,27352
7938,27352
8183,27140
8477,31208
8722,31728
8967,28724
9212,28736
9457,28736
9702,28736
9947,28736
10192,28736
10486,26816
10731,26288
10927,26288
11172,26288
11466,26288
11711,26288
11956,26288
12201,26288
12446,26288
12691,26288
12936,26288
13230,26340
13475,24296
13769,28452
14014,31108
14210,31108
14455,31108
14700,31108
14945,31108
15288,30612
15484,30616
15680,30616
15974,30616
16219,30616
16464,30616
16709,30616
16954,30616
17199,30616
17444,30616
17689,30616
17983,30644
18228,29516
18473,29520
18718,29520
18963,29520
19208,29520
19453,29520
19698,29520
19943,29520
20188,29520
20433,29520
20678,29520
20972,29520
21217,29520
21462,29520
21707,29520
21952,29520
22197,28836
22491,32720
22834,33164
23030,35340
23226,33508
23520,33508
23716,33508
23961,33508
24255,33508
24500,33508
24745,33508
24990,33508
25235,33508
25480,33508
25725,33508
25970,33508
26215,33508
26509,33508
26754,33508
26999,33508
27244,33508
27489,33508
27734,33508
27979,33508
28273,33984
28665,34628
28910,35144
29204,35668
29498,35192
29792,35732
30086,37444
30331,36504
30576,37208
30821,37256
31115,37180
31409,37916
31801,38344
32144,38364
32634,39176
33320,38096
33859,39616
34251,45204
34790,42812
35231,43456
35770,44428
36162,42612
36554,43904
37142,45748
37485,48788
37926,45076
38318,46128
38710,47400
39004,48580
39249,48732
39494,48776
39837,48960
40180,49904
40621,50880
41062,52568
41503,44732
41895,46316
42189,47864
42385,48980
42630,49836
42924,50760
43169,50796
43414,51296
43610,45248
43855,45248
44149,45328
44394,45384
44639,45384
44884,45384
45129,45396
45374,45396
45619,45504
45864,45488
46109,45488
46403,45488
46648,45620
46893,45648
47138,45648
47481,42252
47628,42260
47873,42396
48167,42396
48412,42384
48657,42384
48902,42384
49147,42472
49392,42472
49637,42472
49882,42472
