time_ms,memory_kbytes
0,0
390,0
1404,30936
1638,33332
1872,36732
2106,35396
2340,63232
2613,63312
2847,63312
3120,63312
3354,63312
3627,63344
3900,63344
4134,63344
4407,63344
4680,63344
4875,63344
5148,63344
5382,63344
5655,63344
5889,63344
6162,63344
6435,74420
6630,104660
6942,78624
7176,78676
7410,79716
7683,84648
7917,83500
8190,89632
8424,89808
8658,89928
8970,90024
9165,90396
9438,90436
9750,90800
9906,96428
10218,98764
10452,99308
10647,99644
10920,92500
11193,93012
11427,93768
11661,94072
11895,94400
12168,94616
12402,107772
12675,105784
12948,109288
13221,109548
13455,100956
13650,101456
13923,101624
14196,101920
14430,101976
14664,102228
14898,102868
15249,103224
15405,103276
15717,103284
15912,103452
16146,103616
16458,103780
16653,103880
16926,104080
17199,104164
17433,104600
17706,84064
17901,84104
18174,84104
18447,84072
18681,84280
18954,84280
19188,84280
19422,84280
19695,84280
19929,84476
20163,84476
20436,84476
20670,84476
20904,84344
21177,84360
21411,84360
21684,94492
21957,111452
22191,112352
22464,112672
22698,112712
22932,112712
23205,112904
23439,112924
23673,112924
23907,112924
24219,112924
24453,112924
24726,113120
24921,113120
25194,113120
25467,113120
25701,113120
25935,113132
26208,113132
26442,113132
26754,123220
26988,92860
27183,93052
27456,93052
27690,93052
28002,93052
28236,93052
28470,93060
28704,93060
28977,93060
29211,93060
29445,83960
29679,83960
29952,84296
30186,84296
30459,84296
30693,84320
30966,94496
31239,111260
31473,113816
31707,113800
31941,113920
32214,113920
32448,113920
32721,113920
32955,114080
33228,114092
33462,114092
33735,114092
33969,114092
34203,114236
34476,114220
34710,114220
34944,114220
35217,114376
35451,114384
35685,114384
35958,124452
36231,93332
36465,93388
36699,93500
36972,93500
37206,93500
37479,93500
37713,93688
37986,93704
38220,93704
38493,93704
38688,93704
38961,93704
39234,93908
39507,93968
39702,94064
