time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1482,0,0
1989,0,0
2496,525,6466
3003,1043,0
3510,0,0
4017,0,0
4524,0,0
5031,0,0
5577,0,0
6084,0,0
6591,0,0
7098,22125,5923
7605,6923468,83805
8112,8521383,8145
8619,7917664,81606
9126,8466219,5561
9633,8009755,102034
10140,8294494,33688
10647,7476568,49071
11193,9045370,24307
11700,8176281,55069
12207,7125043,16792
12714,2823939,44737
13221,4933889,36931
13728,11610845,28601
14235,0,0
14742,315144,6520
15249,0,0
15756,0,0
16263,148483,4970
16770,0,0
17316,0,0
17823,183600,5586
18330,0,0
18837,204,462
19344,397999,11860
19851,0,0
20358,250276,6000
20865,0,0
21372,203,496
21879,0,0
22425,289785,10816
22932,0,0
23439,204,496
23946,0,0
24453,0,0
24960,174844,6826
25467,0,0
25974,224679,8535
26481,0,0
27027,233817,8587
27534,0,0
28002,0,0
28509,205569,8448
29055,0,0
29562,204,452
30069,35233,952
30576,0,0
31083,25208,1493
31629,0,0
32136,201,488
32643,90081,2969
33189,0,0
33696,0,0
34203,246757,4750
34710,0,0
35217,0,0
35724,203,496
36231,656020,7509
36777,0,0
37284,0,0
37791,197846,3655
38298,0,0
38805,235102,16561
39312,0,0
39858,0,0
