time_ms,memory_kbytes
0,0
308,0
1320,17016
1540,26708
1804,33204
2068,35148
2332,32276
2552,34368
2816,39824
3036,47192
3300,79148
3564,90732
3828,90756
4136,90768
4444,90768
4620,90768
4840,90768
5104,90768
5368,90768
5632,90768
5896,90768
6116,90768
6380,90768
6600,90788
6864,89400
7128,89400
7392,87772
7700,87772
7920,87772
8096,87772
8404,87852
8580,88432
8844,88520
9108,88520
9416,88792
9680,88792
9856,88792
10164,88792
10428,88792
10560,88792
10824,88792
11132,88792
11440,88792
11616,88792
11968,88792
12188,88792
12364,88792
12672,88792
12936,88792
13112,88792
13332,88792
13640,88792
13948,88800
14080,88912
14344,88940
14564,88940
14828,88940
15224,88940
15312,88940
15708,88940
15928,88940
16148,88940
16368,88940
16632,88940
16940,88940
17116,88940
17380,88940
17644,88940
17952,88940
18128,88940
18348,88940
18656,88940
18920,88940
19184,88940
19360,88940
19580,92296
19844,93164
20108,93248
20372,93248
20680,93248
20944,93248
21120,93188
21340,93244
21692,93260
21912,93260
22132,93260
22396,93260
22748,93260
22924,93260
23144,93260
23408,93260
23672,93380
23848,93380
24112,93380
24464,93380
24684,93380
24860,93380
25124,93336
25388,93804
25608,94612
25960,97840
26136,97844
26400,97844
26620,97844
26928,97844
27192,97844
27412,97844
27676,97844
27940,97844
28204,97844
28424,97844
28600,97844
28996,97844
29172,97844
29436,97844
29700,97844
29920,97700
30184,97700
30492,97700
30624,97700
30932,97700
31152,97856
31372,97856
31636,97864
31856,97864
32164,97864
32472,97864
32604,97864
32868,97736
33132,97732
33440,97728
33704,97728
33968,97728
34188,97728
34496,97728
34628,97736
34892,97736
35156,97736
35420,97736
35728,97736
35948,97736
36168,97736
36432,97736
36652,97776
36872,98164
37136,98372
37444,98660
37664,98660
37884,98660
38192,98660
38456,98660
38632,98660
38896,98660
39204,98660
39468,98660
39688,98660
39952,98660
40216,98660
40392,98660
40656,98660
40964,98660
41228,98660
41448,98660
41712,98660
41932,98660
42152,98660
42416,98660
42636,98520
42900,98304
43208,98396
43472,98396
43736,98396
43956,98396
44220,98724
44396,98744
44704,98748
