time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2597,0,0
3087,2946,4620
3626,0,0
4116,0,0
4606,0,237
5145,0,0
5635,0,0
6125,0,0
6615,238,206
7154,27332,6273
7644,0,0
8134,0,0
8673,0,0
9163,0,0
9653,0,0
10143,0,0
10682,0,0
11172,0,0
11662,0,0
12201,0,0
12691,0,0
13181,0,0
13720,0,0
14210,0,0
14700,0,0
15190,0,0
15729,0,0
16219,0,0
16709,0,0
17199,0,0
17738,0,0
18228,0,0
18718,0,0
19257,0,0
19747,0,0
20237,0,0
20727,0,0
21266,0,0
21756,0,0
22246,0,0
22736,0,0
23275,0,0
23765,0,0
24255,0,0
24794,0,0
25284,0,0
25774,0,0
26264,0,0
26803,0,0
27293,0,0
27783,0,0
28322,0,0
28812,0,0
29302,0,0
29841,0,0
30331,0,0
30821,0,0
31311,0,0
31850,0,0
32340,0,0
32830,0,0
33320,0,0
33859,0,0
34349,0,0
34839,0,0
35378,0,0
35868,0,0
36358,0,0
36848,0,0
37387,0,0
37877,0,0
38367,0,0
38857,0,0
39396,0,0
39886,0,0
40376,0,0
40866,0,0
41405,0,0
41895,0,0
42434,0,0
42924,0,0
43414,0,0
43904,0,0
44443,0,0
44933,0,0
45423,0,0
45913,0,0
46452,0,0
46942,0,0
47432,0,0
47971,0,0
48461,0,0
48951,0,0
49441,0,0
