time_ms,memory_kbytes
0,0
1470,0
2450,10608
2744,11428
3038,10956
3332,12292
3577,13824
4018,12416
4361,13216
4606,20336
4753,17072
5047,18868
5292,18160
5586,23596
5782,32588
6076,40144
6370,49484
6566,49856
6811,49752
7056,49728
7301,49708
7546,49708
7840,49708
8036,49708
8281,49708
8575,49708
8820,49708
9065,49708
9310,49708
9555,49708
9800,47508
10045,47508
10290,47508
10584,47508
10780,47508
11074,47508
11319,47952
11613,48368
11907,48800
12152,52092
12348,52128
12593,52128
12838,52128
13083,52128
13377,52092
13671,54588
13867,51560
14112,51560
14357,51560
14602,51560
14847,51560
15092,51560
15386,51560
15631,51560
15876,51560
16121,51524
16366,51524
16611,51524
16856,51524
17101,51524
17493,51712
17787,52612
18032,50976
18277,47972
18522,56748
18718,56784
18963,56792
19208,56792
19502,56792
19747,56792
19992,56792
20237,56792
20482,56792
20727,56792
20972,56792
21217,56792
21462,56792
21756,56792
22001,56792
22246,56792
22491,55136
22736,55136
22981,55124
23226,55124
23471,55124
23765,55200
24010,55532
24304,53596
24500,53616
24745,53616
24990,53616
25235,53616
25480,53616
25774,52928
26019,52932
26264,52932
26509,52932
26754,52932
26999,52932
27244,52932
27489,52932
27734,52932
27979,52932
28224,52932
28469,52932
28763,52932
29008,52932
29253,52932
29498,52964
29792,53088
29988,53096
30233,53096
30478,53096
30723,53096
30968,53096
31213,53096
31507,53096
31752,53096
31997,53096
32242,53096
32487,53096
32732,53096
32977,53096
33222,53096
33516,53096
33761,53096
34006,53096
34251,53096
34496,53096
34741,53096
35084,52900
35378,54364
35574,54376
35819,54336
36064,54336
36309,54336
36554,54312
36897,53556
37093,53596
37338,53596
37583,53596
37828,53596
38122,53596
38367,53596
38612,53596
38857,53596
39102,53596
39347,53596
39592,53596
39886,53596
40131,53596
40376,53596
40621,52828
40915,53528
41258,53896
41503,58216
41699,58232
41944,58232
42189,58232
42434,58232
42777,58260
42973,58272
43218,58272
43463,58272
43708,58272
43953,58272
44198,58272
44443,58272
44688,58272
44933,58272
45178,58272
45472,58272
45717,58272
45962,58272
46207,58272
46452,58272
46893,58228
47089,63152
47334,63156
47579,63156
47824,63156
48069,63156
48314,63156
48559,63116
48804,63116
49049,63116
49294,63116
49588,63116
49833,63116
