time_ms,memory_kbytes
0,0
352,0
1364,31536
1584,36984
1848,38236
2112,33792
2332,41024
2596,62320
2816,106792
3080,108452
3344,108524
3564,108532
3872,108532
4092,108532
4356,108532
4620,108532
4884,108532
5104,108532
5368,108532
5632,108532
5852,108532
6160,108532
6336,108572
6600,108572
6864,108588
7128,107144
7392,107144
7656,107144
7832,105532
8140,105720
8360,105720
8668,105720
8888,105720
9108,105720
9372,105720
9636,105720
9900,106224
10120,106224
10384,106224
10648,106224
10912,106224
11132,106224
11396,106224
11616,106224
11880,106224
12144,106224
12408,106224
12672,106224
12892,106224
13156,106224
13420,106300
13684,106384
13904,106388
14124,106388
14388,106388
14652,106388
14916,106388
15136,106388
15444,106388
15664,106388
15884,106388
16148,106388
16412,106388
16632,106388
16896,106388
17160,106388
17424,106388
17688,106388
17908,106388
18128,106388
18436,106388
18656,106388
18920,109004
19140,110060
19404,110120
19668,110128
19932,110128
20152,110128
20416,110128
20636,110856
20944,110892
21164,110892
21428,110892
21692,110892
21956,110892
22176,110892
22396,110892
22660,110892
22924,110892
23144,110952
23408,110952
23672,110952
23936,110952
24156,110952
24420,110952
24640,116716
24904,111684
25168,114500
25432,114504
25696,114504
25916,114504
26180,114504
26444,114504
26708,114504
26928,114504
27148,114504
27412,114504
27676,114504
27896,114504
28160,114504
28424,114504
28688,114504
28908,114504
29172,114504
29392,114504
29700,114504
29964,114504
30140,114504
30404,114512
30668,114596
30932,114636
31152,114640
31416,114640
31724,114640
31944,114640
32164,114568
32472,114592
32692,114588
32912,114588
33176,114544
33440,114544
33704,114544
33968,114544
34188,114544
34408,114544
34672,114544
34936,114544
35200,114544
35420,114544
35684,114544
35948,114544
36168,114728
36432,114924
36740,115364
36916,115368
37180,115368
37444,115368
37708,115368
37928,115368
38192,115368
38456,115368
38676,115368
38984,115368
39204,115368
39424,115368
39688,115368
39952,115368
40216,115368
40480,115368
40700,115368
40964,115368
41184,115368
41492,115368
41712,115368
41932,115516
42196,115532
42504,115544
42724,115548
42944,115548
43208,115548
43472,115800
43692,115620
43956,115620
44220,115620
44440,115620
44748,115620
