time_ms,memory_kbytes
0,0
396,0
1408,21532
1672,31672
1936,33016
2156,33352
2464,32852
2684,33208
2904,35352
3212,41788
3432,56540
3652,87444
3916,91744
4136,91920
4400,91960
4664,91384
4928,91384
5148,91960
5412,91976
5720,91976
5984,91976
6248,90476
6512,90972
6732,90972
6996,90972
7260,90972
7436,91080
7656,91080
8008,91080
8272,91080
8404,91080
8668,91412
8932,94852
9152,95708
9460,95712
9680,95712
9900,95724
10252,96004
10428,95904
10648,95972
10956,95972
11264,95972
11484,95972
11660,95972
11968,95972
12232,95972
12540,95972
12716,95972
12980,93312
13288,93204
13464,93204
13728,93204
13992,93204
14256,93204
14432,95788
14696,93680
14916,97020
15224,96692
15444,96692
15708,96692
16060,96692
16236,96692
16500,96692
16720,96692
17028,96692
17292,96692
17512,96692
17776,96692
18040,96692
18260,96692
18436,96692
18788,96812
19052,96812
19228,96812
19492,96812
19800,96812
19976,96812
20240,96828
20460,96932
20724,96968
21076,96968
21252,96968
21516,96968
21780,96968
22044,96968
22264,96968
22572,96968
22792,96968
23012,96968
23232,96968
23452,96968
23804,96968
24068,96968
24332,96968
24508,96968
24772,96968
25036,96968
25300,96968
25520,96968
25740,96908
25960,96736
26224,96720
26532,96720
26796,96720
27104,96720
27236,96720
27500,96720
27852,96720
28028,96720
28248,96720
28512,96720
28820,96720
28996,96720
29216,96720
29612,96720
29788,96720
30008,96720
30272,96720
30536,96720
30844,96720
30976,98444
31328,102204
31548,102204
31768,102204
32076,102204
32252,102204
32516,102204
32736,104736
33044,104772
33308,104772
33572,104772
33792,104772
34056,104768
34276,104768
34496,104768
34804,104768
35068,104768
35288,104768
35552,104768
35816,104768
36036,104768
36300,104784
36476,100628
36740,98420
37004,98612
37268,101612
37488,101612
37752,101592
38060,101592
38236,101576
38500,101576
38764,101600
38984,101600
39248,101600
39556,101596
39776,101604
40084,101596
40304,101608
40568,101796
40832,101800
41008,101800
41316,101700
41580,101688
41756,101704
42064,101848
42240,101864
42504,101864
42812,101852
43120,101852
43252,101856
43516,101856
43824,101856
44132,101856
44264,101856
44484,101856
44792,101860
