time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1936,0,0
2464,27863,7141
2948,16,0
3476,4187,5765
3960,0,0
4488,0,0
4972,0,0
5500,0,0
6028,0,0
6512,0,0
7040,0,0
7524,0,0
8052,0,0
8536,0,0
9064,0,0
9548,0,0
10076,0,0
10560,0,0
11088,0,0
11572,0,0
12056,0,0
12584,0,0
13068,0,0
13596,0,0
14080,0,0
14608,0,0
15136,0,0
15620,0,0
16148,0,0
16632,0,0
17160,0,0
17688,0,0
18172,0,0
18656,0,0
19184,0,0
19668,0,0
20196,0,0
20680,0,0
21208,0,0
21692,0,0
22220,0,0
22704,0,0
23232,0,0
23760,0,0
24244,0,0
24772,0,0
25300,0,0
25828,0,0
26312,0,0
26840,0,0
27324,0,0
27852,0,0
28336,0,0
28864,0,0
29348,0,0
29876,0,0
30360,0,0
30844,0,0
31372,0,0
31856,0,0
32384,0,0
32868,0,0
33396,0,0
33880,0,0
34408,0,0
34892,0,0
35420,0,0
35904,0,0
36432,0,0
36916,0,0
37444,0,0
37928,0,0
38456,0,0
38940,0,0
39468,0,0
39952,0,0
40480,0,0
40964,0,0
41492,0,0
41976,0,0
42460,0,0
42988,0,0
43516,0,0
44000,0,0
