time_ms,memory_kbytes
0,0
1519,0
2548,11120
2793,10528
2989,11656
3430,11304
3773,11680
4165,13456
4410,12816
4606,19860
4900,17012
5145,18000
5390,18920
5684,34544
5978,35724
6321,48048
6615,47360
6909,49716
7105,50244
7350,50356
7595,50356
7840,50356
8085,50356
8330,50356
8575,50356
8820,50356
9065,50356
9359,50356
9604,50356
9849,48104
10094,48104
10339,48104
10584,48104
10829,48104
11074,48104
11417,48628
11711,48708
11956,48996
12152,48948
12397,48948
12642,48948
12887,48948
13181,48948
13377,48948
13671,48948
13916,48948
14161,48948
14406,48948
14651,48948
14896,48944
15190,48944
15386,48944
15680,48944
15925,48944
16170,48944
16415,48944
16660,48944
16905,48944
17248,49336
17542,49728
17885,51292
18130,51008
18326,51012
18767,51012
19061,50344
19257,50344
19551,50344
19796,50344
20041,50344
20335,50340
20580,50340
20825,50340
21070,50340
21315,50340
21560,50340
21805,50340
22050,50340
22295,50340
22540,50340
22785,50340
23079,50372
23373,50556
23569,50552
23814,50552
24059,50544
24304,50544
24549,50544
24794,50544
25039,50544
25333,50544
25578,50548
25823,50548
26068,50548
26313,50548
26558,50544
26803,50544
27048,50544
27293,50544
27538,50544
27783,50544
28077,50548
28322,50548
28616,50772
28812,50784
29057,50784
29302,50784
29547,50784
29792,50784
30086,50784
30331,50784
30576,50784
30821,50784
31066,50784
31311,50784
31556,50784
31801,50784
32046,50784
32291,50784
32585,50784
32830,50784
33075,50784
33320,50784
33565,50784
33908,50960
34251,57700
34496,56992
34741,57080
34986,56956
35182,56968
35476,56968
35721,56968
35966,56968
36211,56968
36456,56968
36701,56968
36946,56968
37191,56968
37485,56968
37730,56968
37975,56968
38220,56968
38465,56968
38710,56976
38955,56976
39200,56976
39445,56960
39690,56960
39984,56960
40278,47976
40523,51172
40719,51160
40964,51168
41209,51168
41454,51168
41748,51168
42042,50684
42238,50688
42483,50688
42728,50688
43022,50688
43218,50688
43512,50688
43757,50688
44002,50688
44247,50688
44492,50704
44737,50704
44982,50704
45227,50704
45521,50704
45766,50704
46060,50864
46354,50856
46550,50744
46795,50744
47040,50744
47285,50744
47579,50744
47824,50744
48069,50744
48314,50744
48559,50744
48804,50744
49049,50744
49294,50744
49539,50744
49833,50744
