time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2058,0,0
2597,24634,2407
3087,0,2291
3577,0,0
4116,0,0
4606,0,0
5096,0,0
5635,0,0
6125,0,0
6615,0,0
7154,25539,7274
7644,0,0
8134,0,0
8624,0,0
9163,0,0
9653,0,0
10143,0,0
10682,0,0
11172,0,0
11662,0,0
12152,0,0
12691,0,0
13181,0,0
13671,0,0
14210,0,0
14700,0,0
15190,0,0
15680,0,0
16219,0,0
16709,0,0
17199,0,0
17689,0,0
18228,0,0
18718,0,0
19208,0,0
19698,0,0
20237,0,0
20727,0,0
21217,0,0
21756,0,0
22246,0,0
22736,0,0
23226,0,0
23765,0,0
24255,0,0
24745,0,0
25235,0,0
25774,0,0
26264,0,0
26852,0,0
27342,0,0
27832,0,0
28322,0,0
28861,0,0
29351,0,0
29841,0,0
30380,0,0
30870,0,0
31360,0,0
31850,0,0
32389,0,0
32879,0,0
33369,0,0
33859,0,0
34398,0,0
34888,0,0
35378,0,0
35917,0,0
36407,0,0
36897,0,0
37387,0,0
37926,0,0
38416,0,0
38906,0,0
39396,0,0
39935,0,0
40425,0,0
40915,0,0
41454,0,0
41944,0,0
42483,0,0
42973,0,0
43463,0,0
43953,0,0
44492,0,0
44982,0,0
45472,0,0
45962,0,0
46501,0,0
46991,0,0
47481,0,0
47971,0,0
48510,0,0
49000,0,0
49490,0,0
