time_ms,memory_kbytes
0,0
352,0
1364,32076
1628,36404
1892,36180
2112,34948
2376,41856
2640,93560
2860,108772
3124,108776
3388,108876
3608,108876
3916,108876
4180,108876
4444,108876
4664,108876
4884,108876
5192,108876
5412,108876
5676,108876
5896,108876
6160,108876
6380,108880
6688,108932
6908,107772
7216,107772
7436,107772
7656,107772
7920,108328
8140,108392
8404,108392
8668,108392
8888,108392
9152,108392
9460,108392
9680,108392
9900,108884
10164,108884
10428,108884
10692,108884
10912,108884
11176,108884
11440,108884
11660,108884
11924,108884
12144,108884
12408,106872
12672,106872
12980,106872
13156,106872
13420,107000
13640,107016
13948,107016
14168,107016
14432,107016
14652,107016
14916,107016
15180,107016
15444,107016
15708,107016
15928,107016
16192,107016
16456,107016
16676,107016
16940,107016
17160,107016
17468,107016
17688,107016
17952,107016
18172,107016
18436,107016
18700,107036
18920,110484
19184,110740
19404,110792
19668,110792
19932,110792
20196,110792
20416,111472
20680,111520
20944,111528
21208,111528
21472,111528
21692,111528
21956,111528
22176,111528
22484,111528
22704,111528
22924,111576
23188,111576
23452,111576
23716,111576
23980,111576
24200,111576
24420,111640
24684,112320
24948,117420
25212,115176
25476,115176
25696,115176
25916,115176
26224,115176
26488,115176
26708,115176
26928,115176
27192,115176
27456,115176
27676,115176
27940,115176
28204,115176
28468,115176
28732,115176
28952,115176
29216,115176
29480,115176
29700,115176
29964,115176
30228,115200
30448,115260
30712,115272
30976,115304
31196,115304
31460,115304
31724,115304
31988,115276
32208,115256
32516,115240
32736,115240
33000,115128
33220,115128
33484,115128
33748,115128
33968,115128
34232,115128
34452,115128
34716,115128
34980,115128
35200,115128
35508,115128
35728,115128
35948,115180
36212,115536
36476,116048
36696,116056
37004,116056
37268,116056
37488,116056
37708,116056
38016,116056
38236,116056
38456,116056
38764,116056
38984,116056
39248,116056
39512,116056
39732,116056
39996,116056
40216,116056
40480,116056
40744,116056
41008,116056
41228,116056
41536,116056
41756,116056
41976,116104
42240,116124
42504,116124
42768,116124
42988,116124
43208,116124
43472,116108
43736,116132
44000,116132
44264,116132
44484,116132
44748,116132
