time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1540,0,0
2024,27853,7178
2552,366,2397
3036,1533,0
3564,0,0
4048,0,0
4576,0,0
5104,0,0
5632,0,0
6116,0,0
6644,0,0
7172,0,0
7700,0,0
8184,0,0
8712,0,0
9240,0,0
9724,0,0
10252,0,0
10736,0,0
11264,0,0
11792,0,0
12276,0,0
12804,0,0
13332,0,0
13816,0,0
14344,0,0
14828,0,0
15356,0,0
15884,0,0
16368,0,0
16896,0,0
17380,0,0
17908,0,0
18436,0,0
18920,0,0
19448,0,0
19976,0,0
20504,0,0
20988,0,0
21516,0,0
22044,0,0
22572,0,0
23056,0,0
23584,0,0
24112,0,0
24596,0,0
25124,0,0
25652,0,0
26136,0,0
26664,0,0
27148,0,0
27676,0,0
28204,0,0
28688,0,0
29216,0,0
29744,0,0
30272,0,0
30756,0,0
31284,0,0
31768,0,0
32296,0,0
32824,0,0
33308,0,0
33836,0,0
34364,0,0
34848,0,0
35376,0,0
35860,0,0
36388,0,0
36872,0,0
37400,0,0
37884,0,0
38412,0,0
38940,0,0
39424,0,0
39952,0,0
40480,0,0
40964,0,0
41492,0,0
42020,0,0
42504,0,0
43032,0,0
43560,0,0
44044,0,0
44572,0,0
