time_ms,memory_kbytes
0,0
616,0
1628,25032
1892,32888
2156,37664
2376,36100
2640,33136
2904,58472
3168,58472
3520,58472
3696,58472
3960,58472
4224,58472
4444,58472
4752,58472
4928,58472
5148,58472
5544,58472
5720,58472
5984,58472
6204,58472
6556,58472
6644,58640
6908,58800
7216,58684
7480,58684
7744,58684
7964,58784
8184,68372
8404,69032
8712,80676
8932,80688
9152,80688
9460,80800
9768,80808
10032,80808
10208,80808
10428,80812
10692,80812
11000,80812
11264,80812
11440,80816
11704,80816
12012,80816
12276,81020
12408,81020
12672,81020
12980,81020
13244,81020
13464,81024
13684,81024
13992,81108
14256,81100
14476,81112
14696,81112
14960,81112
15268,81104
15488,81116
15708,81116
15972,81096
16324,81088
16456,81100
16764,81100
16984,81100
17160,81100
17424,81112
17776,81112
18040,81112
18216,81112
18524,81112
18788,86256
18964,71620
19184,71912
19536,71912
19712,71912
19976,71912
20240,71912
20548,71920
20724,71920
20944,71920
21296,71920
21472,71920
21736,71920
22000,71920
22220,71920
22440,71920
22748,71920
23056,72072
23232,72072
23496,72072
23760,72072
23980,72072
24244,72096
24464,73136
24728,83996
25036,84012
25256,84012
25476,83980
25740,83996
26092,84000
26268,84000
26488,84000
26752,84000
27060,84008
27192,84008
27544,84000
27764,84008
28028,84008
28204,84008
28468,83996
28776,84008
29040,84008
29304,84008
29480,84000
29788,84000
30008,73864
30316,73868
30492,73868
30756,73868
31020,73868
31284,73868
31504,73868
31812,73868
31988,73868
32252,73868
32516,73868
32824,73868
33000,73868
33220,73868
33528,73868
33836,73868
33968,73868
34232,73868
34496,73868
34804,73868
34980,73868
35244,72808
35508,76912
35816,76928
36036,76928
36256,76928
36564,76928
36828,76928
37004,78844
37312,78876
37532,78876
37752,78876
38060,78876
38324,78876
38500,78876
38764,78876
39028,78876
39336,78876
39512,78876
39776,78876
40084,78876
40260,78832
40524,78832
40788,75224
41096,75228
41272,75228
41536,75228
41800,75228
42064,75228
42284,75228
42636,75228
42768,75228
43032,75228
43340,75228
43560,75228
43780,75228
44088,75228
44308,75228
44528,75228
44792,75456
