time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1452,0,0
1936,0,0
2420,0,0
2948,0,0
3432,0,0
3960,0,0
4444,0,0
4972,0,0
5456,0,0
5984,0,0
6468,0,0
6996,0,0
7480,0,0
8008,0,0
8492,0,0
9020,0,0
9504,0,0
10032,0,0
10516,0,0
11000,0,0
11528,0,0
12012,0,0
12540,0,0
13024,0,0
13552,0,0
14036,0,0
14564,0,0
15048,0,0
15576,0,0
16060,0,0
16588,0,0
17072,0,0
17600,0,0
18084,0,0
18612,0,0
19096,0,0
19624,0,0
20108,0,0
20636,0,0
21164,0,0
21648,0,0
22176,0,0
22704,0,0
23232,0,0
23716,0,0
24244,0,0
24772,0,0
25300,0,0
25784,0,0
26312,0,0
26796,0,0
27280,0,0
27808,0,0
28292,0,0
28820,0,0
29304,0,0
29832,0,0
30316,0,0
30844,0,0
31328,0,0
31812,0,0
32340,0,0
32824,0,0
33352,0,0
33836,0,0
34364,0,0
34848,0,0
35376,0,0
35860,0,0
36344,0,0
36872,0,0
37356,0,0
37884,0,0
38368,0,0
38896,0,0
39380,0,0
39908,0,0
40392,0,0
40920,0,0
41404,0,0
41932,0,0
42416,0,0
42944,0,0
43428,0,0
43956,0,0
44440,0,0
