time_ms,memory_kbytes
0,0
220,0
1232,30200
1452,34616
1716,37484
1936,40684
2200,61748
2464,61748
2684,61748
2948,61748
3212,61748
3432,61748
3696,61748
4004,61748
4224,61748
4488,61748
4752,61748
5016,61748
5236,61748
5544,61748
5720,61748
5984,61748
6248,61952
6556,61952
6776,61952
6996,61952
7260,62276
7568,73896
7788,85980
8052,85972
8272,85988
8536,85988
8756,85988
9064,85988
9284,86128
9504,86128
9768,86136
10032,86160
10252,86160
10516,86160
10736,86160
11044,86160
11308,86160
11528,86160
11748,86240
12012,86240
12320,86240
12496,86240
12760,86240
13068,86332
13288,86332
13508,86340
13772,86340
14036,86340
14300,86340
14520,86340
14784,86340
15004,86340
15268,86340
15576,86340
15796,86340
16016,86352
16280,86352
16544,86352
16808,86352
17028,86352
17292,86352
17512,86352
17820,86352
18040,86348
18260,77196
18568,77196
18788,77196
19052,77196
19316,77196
19536,77196
19756,77204
20064,77204
20284,77204
20548,77204
20768,77204
21076,77204
21296,77204
21560,77204
21780,77204
22088,77204
22352,77280
22528,77280
22792,77280
23056,77280
23320,77280
23584,77744
23848,89488
24024,89504
24332,89512
24552,89512
24816,89516
25036,89516
25300,89516
25564,89516
25828,89516
26048,89516
26268,89468
26576,89468
26840,89472
27060,89472
27280,89472
27588,89472
27808,89472
28072,89472
28292,89472
28600,89472
28820,89472
29040,89472
29348,79144
29568,79148
29876,79148
30096,79148
30316,79148
30580,79148
30844,79148
31064,79148
31328,79148
31592,79148
31856,79148
32076,79148
32296,79148
32560,79148
32824,79148
33088,79148
33352,79148
33616,79148
33836,79148
34100,79148
34364,79148
34672,83660
34848,84064
35112,84068
35332,84068
35596,84068
35816,84068
36124,84068
36344,86192
36564,86204
36828,86204
37092,86204
37312,86204
37576,86204
37840,86204
38104,86204
38368,86204
38588,86204
38852,86204
39116,86204
39336,86204
39600,86204
39820,86204
40084,82604
40348,82604
40656,82604
40832,82604
41140,82604
41360,82604
41580,82604
41844,82604
42108,82604
42328,82604
42592,82604
42856,82604
43120,82604
43384,82604
43604,82604
43868,82604
44132,82644
44352,82644
44616,82644
44880,82644
