time_ms,cpu_percent
0,0.0
396,0.0
1628,14.744
1804,18.987
2024,13.462
2200,13.125
2420,3.822
2596,0.0
2816,0.637
3036,0.0
3212,0.0
3432,0.0
3608,0.0
3828,0.0
4004,0.0
4224,0.0
4400,0.0
4620,0.0
4840,0.0
5016,0.0
5236,0.0
5412,0.0
5632,0.0
5808,0.0
6028,0.0
6204,0.0
6424,0.0
6600,0.0
6820,0.0
7040,0.0
7216,0.0
7436,7.547
7612,17.284
7832,13.497
8008,0.629
8228,0.629
8404,0.0
8624,0.0
8844,1.299
9020,0.0
9240,1.948
9416,0.0
9636,0.0
9812,0.637
10032,0.0
10208,1.29
10428,0.0
10648,0.0
10824,0.645
11044,0.0
11220,1.282
11440,0.0
11616,0.0
11836,1.205
12012,0.0
12232,0.629
12408,0.0
12628,0.0
12848,1.282
13024,0.0
13244,5.625
13420,0.0
13640,0.0
13816,1.25
14036,0.0
14256,0.633
14432,0.0
14652,0.0
14828,1.266
15048,0.0
15224,0.0
15444,0.0
15620,0.0
15840,1.258
16060,0.0
16236,1.299
16456,0.0
16632,0.0
16852,1.25
17028,0.0
17248,0.637
17424,0.0
17644,0.0
17864,0.641
18040,0.0
18260,4.575
18436,0.0
18656,0.0
18832,1.29
19052,0.0
19228,0.641
19448,0.0
19668,0.0
19844,0.641
20064,0.0
20240,0.641
20460,0.0
20636,0.0
20856,1.25
21032,0.0
21252,0.621
21428,0.0
21648,0.0
21868,0.621
22044,0.0
22264,0.625
22440,0.0
22660,0.0
22836,0.633
23056,0.0
23232,1.887
23452,12.418
23672,0.641
23848,0.641
24068,0.0
24244,0.0
24464,0.0
24640,0.0
24860,0.0
25036,0.0
25256,0.0
25476,0.0
25652,0.0
25872,0.0
26048,0.0
26268,0.0
26444,0.0
26664,0.0
26840,0.0
27060,0.0
27280,0.0
27456,0.0
27676,0.0
27852,0.0
28072,0.0
28248,0.0
28468,0.0
28644,0.0
28864,8.861
29084,0.621
29260,0.0
29480,0.637
29656,0.0
29876,1.25
30052,0.0
30272,0.0
30448,1.307
30668,0.0
30888,0.585
31064,0.0
31284,0.0
31460,0.625
31680,0.0
31856,1.29
32076,0.0
32296,0.0
32472,0.625
32692,0.0
32868,1.29
33088,0.0
33264,0.0
33484,0.641
33660,0.0
33880,1.266
34056,2.484
34276,11.039
34496,0.0
34672,0.621
34892,0.0
35068,0.0
35288,0.0
35464,0.0
35684,0.0
35860,1.266
36080,0.0
36300,0.0
36476,0.0
36696,0.0
36872,0.0
37092,0.0
37312,0.0
37488,0.0
37664,0.0
37884,0.0
38104,0.0
38280,0.633
38500,0.0
38676,0.0
38896,0.0
39072,0.0
39292,0.0
39468,1.911
39688,1.258
39864,0.0
40084,8.333
40304,0.0
40480,0.625
40700,0.0
40876,0.0
41096,0.0
41272,0.0
41492,0.0
41668,0.0
41888,0.0
42108,0.0
42284,0.0
42504,0.0
42680,0.0
42900,0.0
43076,0.0
43296,0.0
43472,0.0
43692,0.0
43912,0.0
44088,0.0
44308,0.0
44484,0.0
44704,0.0
44880,0.0
