time_ms,memory_kbytes
0,0
440,0
1452,26084
1672,32696
1936,37600
2200,35984
2420,32944
2684,59336
3036,59380
3212,59380
3564,59380
3696,59380
4004,59380
4312,59380
4532,59380
4752,59380
5104,59380
5236,59380
5500,59380
5808,59380
6028,59380
6292,59380
6556,59500
6732,59652
6996,59536
7348,59536
7524,59536
7744,59792
7964,69316
8228,69924
8536,81656
8800,81672
9064,81672
9284,81776
9504,81776
9768,81784
10032,81784
10296,81784
10516,81784
10736,81776
11000,81764
11308,81764
11528,81764
11748,81756
12012,81972
12276,81972
12540,81972
12760,81740
13068,81752
13244,81740
13508,81752
13772,81840
14080,81840
14256,81840
14520,81840
14740,81840
15048,81840
15312,81844
15532,81844
15796,81844
16104,81836
16280,81844
16588,81832
16808,81844
17072,81844
17292,81852
17556,81852
17820,81856
18084,81856
18260,81856
18524,81856
18832,87088
19008,87088
19228,87088
19536,87088
19844,87092
19976,87092
20240,87092
20548,87092
20768,87096
20988,87096
21340,87096
21560,87096
21736,87096
22000,87096
22352,87096
22528,87096
22792,87100
23012,87100
23320,87100
23540,87100
23716,88104
24024,92308
24288,92312
24596,92312
24772,92312
25036,92312
25300,92312
25564,92312
25828,92312
26004,92312
26268,92312
26576,92312
26840,92312
27104,92312
27280,92312
27588,92312
27852,92312
28028,92564
28336,92564
28600,92564
28776,92496
29040,92496
29260,83820
29568,83824
29876,83808
30008,83808
30272,83808
30580,83808
30844,83808
31020,83808
31240,83808
31592,83808
31812,83808
32032,83808
32252,83808
32560,83804
32824,83804
33088,83804
33308,83752
33572,83752
33880,83752
34056,83752
34320,83752
34540,72964
34760,73672
35068,73672
35288,73672
35552,73672
35860,73672
36080,73652
36300,73668
36564,73668
36872,73668
37092,73668
37356,73668
37620,73668
37752,73668
38148,73668
38324,73668
38588,73852
38852,73852
39116,73852
39292,73852
39600,73852
39864,73852
40084,73896
40348,73936
40568,74484
40876,74484
41052,74484
41316,74484
41580,74484
41844,74484
42064,74484
42328,74484
42592,74532
42812,74532
43032,74532
43296,74532
43560,74532
43780,74532
44044,74532
44264,74532
44528,74532
