time_ms,memory_kbytes
0,0
352,0
1364,31376
1628,37968
1848,37720
2068,41172
2332,62608
2596,62652
2816,62652
3080,62652
3344,62652
3564,62652
3828,62652
4136,62652
4356,62652
4576,62652
4884,62652
5148,62652
5368,62652
5632,62652
5852,62652
6116,62652
6380,62884
6688,62884
6864,62884
7128,62768
7348,63228
7700,74856
7920,86972
8140,86976
8360,86984
8624,86984
8888,86984
9152,86984
9372,87116
9636,87116
9856,87116
10120,87124
10384,87124
10648,87124
10912,87124
11176,87124
11396,87128
11616,87128
11924,87124
12144,87124
12408,87084
12628,87084
12936,87088
13200,87360
13376,87360
13640,87360
13904,87360
14124,87360
14388,87360
14652,87368
14872,87368
15136,87368
15400,87368
15620,87368
15928,87368
16192,87376
16412,87376
16676,87384
16896,87384
17160,87384
17380,87384
17644,87384
17908,87384
18128,87380
18436,78316
18656,78320
18876,78320
19140,78320
19404,78320
19668,78320
19888,78324
20196,78324
20416,78324
20636,78324
20900,78324
21208,78324
21428,78324
21648,78324
21912,78324
22176,78324
22396,78404
22660,78404
22924,78404
23188,78404
23408,78404
23628,78464
23892,78464
24156,79280
24420,79088
24640,79088
24948,79088
25168,79088
25388,79088
25652,79088
25916,79088
26180,79088
26444,79088
26664,79088
26928,79088
27148,79088
27412,79088
27676,79088
27896,79088
28204,79160
28424,79160
28644,79160
28908,79160
29172,79160
29436,79204
29700,79204
29920,79188
30184,79200
30448,79200
30668,79200
30932,79200
31196,79200
31460,79200
31680,79200
31988,79200
32208,79200
32428,79200
32692,79200
32912,79200
33176,79200
33440,79200
33704,79200
33924,79200
34188,79200
34496,79200
34716,79200
34936,79200
35200,79244
35464,79244
35728,79248
35948,79252
36212,79252
36432,79252
36696,79252
36960,79252
37180,79252
37444,79252
37708,79252
37972,79252
38192,79252
38456,79252
38720,79252
38940,79252
39204,79252
39468,79252
39688,79252
39952,79252
40216,79252
40436,79252
40700,79252
40964,79320
41184,79312
41448,79428
41756,79432
41976,79432
42196,79432
42460,79432
42724,79432
42988,79432
43208,79432
43472,79432
43736,79432
43956,79432
44264,79432
44484,79432
44704,79432
