Test;Time
io.github.hidroh.materialistic.testcase7_004;318
io.github.hidroh.materialistic.testcase7_005;328
io.github.hidroh.materialistic.testcase7_009;10475
io.github.hidroh.materialistic.testcase7_011;4586
io.github.hidroh.materialistic.testcase7_012;515
io.github.hidroh.materialistic.testcase7_013;3262
io.github.hidroh.materialistic.testcase7_014;7654
io.github.hidroh.materialistic.testcase7_015;2672
io.github.hidroh.materialistic.testcase7_016;376
io.github.hidroh.materialistic.testcase7_017;273
io.github.hidroh.materialistic.testcase7_018;1746
io.github.hidroh.materialistic.testcase7_019;1268
io.github.hidroh.materialistic.testcase7_020;1295
io.github.hidroh.materialistic.testcase7_021;328
io.github.hidroh.materialistic.testcase7_023;2671
io.github.hidroh.materialistic.testcase7_024;1783
io.github.hidroh.materialistic.testcase7_025;497
io.github.hidroh.materialistic.testcase7_026;1523
io.github.hidroh.materialistic.testcase7_027;1582
io.github.hidroh.materialistic.testcase7_028;5904
io.github.hidroh.materialistic.testcase7_029;1609
